Boom_Head_C_P,Arm_Rod_C_P,Arm_Head_C_P,Bkt_Rod_C_P,Bkt_Head_C_P,Boom_Rod_C_P,Boom_theta,Arm_theta,Bkt_theta,Jbkt ,Cabin_Slope_Yaw,Cabin_Slope_Pitch,Cabin_Slope_Roll,Dist,ImgName,Phase,distance,depth,bktAOA
21.35,217.95,27.3,127.3,69,170.8,16.8,-43.3,94.1,-25.25,0,1.26,0.47,4.694,P_20220919_093723.657,PHASE_0,9.945,-1.107,-51.75
20.3,210.9,27.05,170.55,93.75,182.8,16.8,-43.3,94.1,-25.25,0,1.26,0.47,4.694,20220919_093725.143,PHASE_0,9.945,-1.107,-51.75
20.3,210.9,27.05,170.55,93.75,182.8,16.8,-43.3,94.1,-25.25,0,1.26,0.47,4.694,20220919_093725.186,PHASE_0,9.945,-1.107,-51.75
20.8,240.1,28.1,201,107.8,196.6,12.54,-41.54,85.1,-36.36,0,1.25,0.22,4.274,20220919_093725.262,PHASE_0,9.608,-1.914,-65.36
23.65,220.3,64.55,118.75,96.85,170.8,9.02,-43.62,73.9,-50.55,0,1.1,-0.3,4.02,20220919_093725.374,PHASE_0,8.877,-2.717,-85.15
23.65,111.45,59.1,102.3,125.75,21.6,9.81,-43.51,67.4,-59.06,0,0.98,-0.67,3.851,20220919_093725.483,PHASE_0,8.633,-2.597,-92.76
27.05,128.35,93.45,97.65,151.8,158.85,10.46,-46.16,59.7,-69.5,0,1.03,-0.72,3.937,20220919_093725.597,PHASE_0,8.145,-2.551,-105.2
27.05,128.35,93.45,97.65,151.8,158.85,10.46,-46.16,59.7,-69.5,0,1.03,-0.72,3.937,20220919_093725.707,PHASE_0,8.145,-2.551,-105.2
27.05,128.35,93.45,97.65,151.8,158.85,10.46,-46.16,59.7,-69.5,0,1.03,-0.72,3.937,20220919_093725.813,PHASE_0,8.145,-2.551,-105.2
27.3,99.2,97.9,73.15,152.85,158.3,11.89,-49.79,65.3,-61.86,0,1.15,-0.37,4.169,20220919_093726.032,PHASE_0,8.222,-2.534,-99.76
