Boom_Head_C_P,Arm_Rod_C_P,Arm_Head_C_P,Bkt_Rod_C_P,Bkt_Head_C_P,Boom_Rod_C_P,Boom_theta,Arm_theta,Bkt_theta,Jbkt ,Cabin_Slope_Yaw,Cabin_Slope_Pitch,Cabin_Slope_Roll,Dist,ImgName,Phase,distance,depth,bktAOA
21.05,154.4,22.35,114.05,60.15,178.6,32.11,-66.31,98.6,-19.77,0,0.89,1,8.855,P_20220919_095826.201,PHASE_0,8.987,-0.001,-53.97
21.85,159.85,29.9,174.2,92.4,165.35,22.84,-67.54,99.3,-18.92,0,0.87,1.22,5.848,20220919_095828.263,PHASE_0,8.812,-1.503,-63.62
20.55,155.95,27.05,159.85,89.05,190.85,16.91,-68.01,95.2,-23.91,0,0.85,1.27,5.217,20220919_095828.376,PHASE_0,8.414,-2.477,-75.01
23.15,58.3,135.15,152.6,188.8,47.65,14.36,-70.06,98.8,-19.53,0,0.85,1.43,4.971,20220919_095828.486,PHASE_0,8.281,-2.895,-75.23
23.4,55.95,139.55,167.4,211.7,92.95,15.2,-73.2,97,-21.72,0,0.83,0.95,5.035,20220919_095828.810,PHASE_0,8.005,-2.908,-79.72
23.4,55.95,139.55,167.4,211.7,92.95,15.2,-73.2,97,-21.72,0,0.83,0.95,5.035,20220919_095828.926,PHASE_0,8.005,-2.908,-79.72
24.45,59.6,124.45,158.85,199.7,103.35,15.2,-73.2,97,-21.72,0,0.83,0.95,5.035,20220919_095829.034,PHASE_0,8.005,-2.908,-79.72
24.7,61.7,127.05,115.6,172.35,95.8,16.49,-78.09,95.6,-23.42,0,0.72,0.69,5.124,20220919_095829.359,PHASE_0,7.621,-2.895,-85.02
25.5,56.25,132.55,108.05,171.35,101.3,16.49,-78.09,95.6,-23.42,0,0.72,0.69,5.124,20220919_095829.473,PHASE_0,7.621,-2.895,-85.02
22.1,59.1,127.05,116.4,164.05,104.9,17.12,-78.62,96,-22.93,0,0.71,0.96,5.124,20220919_095829.581,PHASE_0,7.626,-2.825,-84.43
24.7,63,124.7,126.8,169.25,104.9,17.75,-80.35,94.9,-24.28,0,0.76,0.85,5.031,20220919_095829.690,PHASE_0,7.47,-2.794,-86.88
