Boom_Head_C_P,Arm_Rod_C_P,Arm_Head_C_P,Bkt_Rod_C_P,Bkt_Head_C_P,Boom_Rod_C_P,Boom_theta,Arm_theta,Bkt_theta,Jbkt ,Cabin_Slope_Yaw,Cabin_Slope_Pitch,Cabin_Slope_Roll,Dist,ImgName,Phase,distance,depth,bktAOA
21.35,184.1,30.7,69,40.35,178.35,15.5,-49.8,110.6,-5.27,0,1.19,0.74,4.681,P_20220919_094243.355,PHASE_0,10.064,-1.32,-39.57
22.65,188.25,14.55,66.4,34.1,209.85,14.36,-49.56,112.2,-3.35,0,1.19,0.65,4.681,20220919_094244.866,PHASE_0,10.09,-1.453,-38.55
22.9,202.3,31.5,49.7,32.55,224.2,12.98,-46.88,94.6,-24.64,0,1.17,0.68,4.503,20220919_094244.969,PHASE_0,9.662,-1.986,-58.54
23.4,113.5,64.55,85.9,99.45,157,14.11,-52.81,82.6,-39.48,0,1.24,0.75,4.541,20220919_094245.079,PHASE_0,8.866,-2.32,-78.18
22.9,105.7,83.85,39.55,109.1,154.4,16.04,-60.64,72.6,-52.23,0,1.07,0.15,4.587,20220919_094245.297,PHASE_0,7.972,-2.384,-96.83
23.15,108.85,94.25,45.05,122.9,151.55,17.43,-63.83,66.4,-60.39,0,1.14,0.32,4.596,20220919_094245.405,PHASE_0,7.53,-2.239,-106.79
24.45,111.95,95.3,50.25,127.6,152.3,17.43,-65.53,64.4,-63.07,0,1.15,0.33,4.422,20220919_094245.517,PHASE_0,7.322,-2.253,-111.17
23.15,105.7,94,59.85,139.55,166.1,18.2,-67.5,63,-64.97,0,1.21,0.43,4.614,20220919_094245.627,PHASE_0,7.151,-2.176,-114.27
23.4,103.9,94.75,61.95,144.25,172.35,18.2,-67.5,63,-64.97,0,1.21,0.43,4.614,20220919_094245.740,PHASE_0,7.151,-2.176,-114.27
23.15,105.2,94,64.55,149.7,176.8,18.37,-69.27,60.9,-67.84,0,1.21,0.43,4.614,20220919_094245.849,PHASE_0,6.944,-2.147,-118.74
23.15,105.2,94,64.55,149.7,176.8,18.37,-69.27,60.9,-67.84,0,1.21,0.43,4.614,20220919_094245.953,PHASE_0,6.944,-2.147,-118.74
23.15,96.05,97.35,58.05,160.9,180.95,18.37,-69.27,60.9,-67.84,0,1.21,0.43,4.614,20220919_094246.064,PHASE_0,6.944,-2.147,-118.74
23.95,92.95,98.15,59.1,164.55,183.05,18.54,-72.04,59.5,-69.78,0,1.22,0.47,4.438,20220919_094246.170,PHASE_0,6.695,-2.137,-123.28
23.65,86.7,99.2,55.95,169.25,186.45,18.64,-74.54,57.9,-72.01,0,1.21,0.47,4.242,20220919_094246.281,PHASE_0,6.458,-2.111,-127.91
23.4,78.9,110.4,46.05,179.4,191.4,18.64,-74.54,57.9,-72.01,0,1.21,0.47,4.242,20220919_094246.391,PHASE_0,6.458,-2.111,-127.91
23.4,63.8,116.4,39.55,201.3,54.9,18.79,-76.89,55.9,-74.84,0,1.21,0.47,4.129,20220919_094246.500,PHASE_0,6.223,-2.05,-132.94
23.65,59.85,118.45,51.55,206.25,155.95,18.98,-79.18,53.7,-78,0,1.22,0.54,4.327,20220919_094246.607,PHASE_0,5.994,-1.962,-138.2
23.65,55.7,127.3,47.1,213.5,145.55,18.98,-79.18,53.7,-78,0,1.22,0.54,4.327,20220919_094246.717,PHASE_0,5.994,-1.962,-138.2
22.35,90.1,103.1,71.05,210.9,131.5,19.23,-82.53,52.4,-79.9,0,1.25,0.63,4.249,20220919_094246.827,PHASE_0,5.73,-1.886,-143.2
22.9,92.4,104.65,91.1,228.35,149.7,19.23,-82.53,52.4,-79.9,0,1.25,0.63,4.249,20220919_094246.934,PHASE_0,5.73,-1.886,-143.2
