Boom_Head_C_P,Arm_Rod_C_P,Arm_Head_C_P,Bkt_Rod_C_P,Bkt_Head_C_P,Boom_Rod_C_P,Boom_theta,Arm_theta,Bkt_theta,Jbkt ,Cabin_Slope_Yaw,Cabin_Slope_Pitch,Cabin_Slope_Roll,Dist,ImgName,Phase,distance,depth,bktAOA
13.25,189.55,14.55,160.15,81.25,200.75,16.64,-41.74,112.6,-2.87,0,1.05,0.18,5.268,P_20220919_094451.913,PHASE_0,10.494,-0.443,-27.97
23.65,189.55,15.35,151.55,85.4,187.5,15.4,-40.9,111.9,-3.71,0,1.08,0.23,4.941,20220919_094454.372,PHASE_0,10.502,-0.629,-29.21
23.65,189.55,15.35,151.55,85.4,187.5,15.4,-40.9,111.9,-3.71,0,1.08,0.23,4.941,20220919_094454.470,PHASE_0,10.502,-0.629,-29.21
22.1,185.4,34.35,122.9,83.05,169,13.23,-46.23,112,-3.59,0,1.17,0.62,4.101,20220919_094454.579,PHASE_0,10.227,-1.421,-36.59
24.2,184.6,29.4,96.85,53.6,183.55,11.46,-44.06,109,-7.2,0,1.25,1.03,3.769,20220919_094454.688,PHASE_0,10.212,-1.676,-39.8
25,137.75,87.2,103.6,111.15,141.1,11.05,-47.05,96.7,-22.08,0,1.33,1.27,3.817,20220919_094454.801,PHASE_0,9.654,-2.276,-58.08
24.45,113.8,81.75,116.1,131.25,154.9,11.88,-50.38,84.1,-37.61,0,1.22,1.03,3.906,20220919_094454.911,PHASE_0,8.995,-2.532,-76.11
28.35,126.55,88.8,102.6,118.45,122.35,13.75,-54.25,82.4,-39.74,0,1.14,0.68,4.118,20220919_094455.017,PHASE_0,8.744,-2.446,-80.24
28.35,95.05,99.7,136.95,163.25,125,14.59,-57.89,81.8,-40.49,0,1.12,0.67,4.251,20220919_094455.127,PHASE_0,8.502,-2.487,-83.79
31.25,89.55,103.6,150.25,178.1,123.4,15.22,-57.72,77.7,-45.68,0,1.18,0.71,4.711,20220919_094455.236,PHASE_0,8.366,-2.4,-88.18
31.25,89.55,103.6,150.25,178.1,123.4,15.22,-57.72,77.7,-45.68,0,1.18,0.71,4.711,20220919_094455.349,PHASE_0,8.366,-2.4,-88.18
31.25,89.55,103.6,150.25,178.1,123.4,15.22,-57.72,77.7,-45.68,0,1.18,0.71,4.711,20220919_094455.455,PHASE_0,8.366,-2.4,-88.18
33.55,81.25,106.25,153.9,185.9,119.25,15.79,-59.39,76.6,-47.08,0,1.21,0.76,4.711,20220919_094455.567,PHASE_0,8.224,-2.384,-90.68
31.75,69.25,110.9,155.95,196.05,115.85,16.29,-63.59,78.5,-44.66,0,1.18,0.76,4.822,20220919_094455.675,PHASE_0,8.023,-2.472,-91.96
31.25,59.85,123.15,152.05,206.5,123.15,17.15,-67.55,78,-45.3,0,1.12,0.5,4.817,20220919_094455.781,PHASE_0,7.743,-2.485,-95.7
35.15,52.05,143.45,141.9,214.55,117.4,17.54,-70.14,78.3,-44.91,0,1.12,0.49,4.726,20220919_094455.894,PHASE_0,7.576,-2.511,-97.51
35.9,53.1,138.5,141.4,216.9,112.2,18.06,-72.86,78.6,-44.53,0,1.14,0.5,4.726,20220919_094456.003,PHASE_0,7.402,-2.519,-99.33
35.9,53.1,138.5,141.4,216.9,112.2,18.06,-72.86,78.6,-44.53,0,1.14,0.5,4.726,20220919_094456.113,PHASE_0,7.402,-2.519,-99.33
30.7,53.9,131.75,145.05,209.6,112.5,18.06,-72.86,78.6,-44.53,0,1.14,0.5,4.726,20220919_094456.224,PHASE_0,7.402,-2.519,-99.33
29.65,54.4,139.3,141.9,210.15,137.2,18.82,-77.22,77.2,-46.31,0,1.18,0.6,4.611,20220919_094456.336,PHASE_0,7.035,-2.511,-104.71
31.25,55.95,128.6,132.8,194.75,128.6,19.25,-78.45,78,-45.3,0,1.19,0.64,4.673,20220919_094456.443,PHASE_0,6.99,-2.491,-104.5
27.6,53.1,131.5,125.25,188.25,133.05,19.75,-82.75,79.2,-43.77,0,1.19,0.64,4.775,20220919_094456.545,PHASE_0,6.717,-2.519,-106.77
23.15,56.5,138.25,116.4,188.25,141.9,20.61,-85.31,78.2,-45.04,0,1.17,0.49,4.765,20220919_094456.657,PHASE_0,6.507,-2.44,-109.74
27.6,51.55,136.15,114.05,185.9,144.75,21.08,-88.28,78.2,-45.04,0,1.17,0.51,4.765,20220919_094456.768,PHASE_0,6.286,-2.417,-112.24
26.8,52.85,133.05,110.15,184.1,148.65,21.08,-88.28,78.2,-45.04,0,1.17,0.51,4.32,20220919_094456.876,PHASE_0,6.286,-2.417,-112.24
25.25,50.75,138,102.85,182.55,155.7,21.53,-90.43,78.1,-45.17,0,1.17,0.53,4.32,20220919_094456.987,PHASE_0,6.126,-2.382,-114.07
27.05,47.65,142.7,88.25,178.9,162.5,21.53,-90.43,78.1,-45.17,0,1.17,0.53,4.318,20220919_094457.093,PHASE_0,6.126,-2.382,-114.07
27.05,45.3,144.75,66.4,177.05,163.8,22.04,-91.84,77,-46.57,0,1.19,0.56,4.318,20220919_094457.205,PHASE_0,5.989,-2.315,-116.37
25.75,39.05,142.95,49.45,160.15,161.15,22.04,-91.84,77,-46.57,0,1.19,0.56,6.433,20220919_094457.313,PHASE_0,5.989,-2.315,-116.37
26.55,44,137.75,51,155.2,153.6,22.54,-94.04,78.1,-45.17,0,1.21,0.65,6.433,20220919_094457.425,PHASE_0,5.872,-2.29,-116.67
26.8,41.4,156.25,54.65,166.1,154.15,22.95,-96.15,77.5,-45.93,0,1.21,0.65,6.509,20220919_094457.536,PHASE_0,5.694,-2.238,-119.13
26.8,41.4,156.25,54.65,166.1,154.15,22.95,-96.15,77.5,-45.93,0,1.21,0.65,6.509,20220919_094457.642,PHASE_0,5.694,-2.238,-119.13
26.8,41.4,156.25,54.65,166.1,154.15,22.95,-96.15,77.5,-45.93,0,1.21,0.65,6.509,20220919_094457.754,PHASE_0,5.694,-2.238,-119.13
