Boom_Head_C_P,Arm_Rod_C_P,Arm_Head_C_P,Bkt_Rod_C_P,Bkt_Head_C_P,Boom_Rod_C_P,Boom_theta,Arm_theta,Bkt_theta,Jbkt ,Cabin_Slope_Yaw,Cabin_Slope_Pitch,Cabin_Slope_Roll,Dist,ImgName,Phase,distance,depth,bktAOA
22.1,185.65,25.75,247.9,135.65,197.35,18.42,-58.02,105.3,-11.66,0,1.14,0.86,5.672,P_20220919_093616.937,PHASE_0,9.518,-1.523,-51.26
21.85,195.55,27.05,266.4,143.75,199.2,18.42,-58.02,105.3,-11.66,0,1.14,0.86,5.672,20220919_093618.598,PHASE_0,9.518,-1.523,-51.26
21.85,195.55,27.05,266.4,143.75,199.2,18.42,-58.02,105.3,-11.66,0,1.14,0.86,5.672,20220919_093618.656,PHASE_0,9.518,-1.523,-51.26
23.65,189.55,33.55,191.9,112.2,173.65,14.88,-60.98,108.1,-8.28,0,1.07,0.49,4.401,20220919_093618.765,PHASE_0,9.305,-2.214,-54.38
22.9,190.1,57.55,57,49.2,170.55,12.53,-55.23,97.4,-21.23,0,1.04,0.28,4.204,20220919_093618.878,PHASE_0,9.218,-2.496,-63.93
23.15,111.7,77.05,47.35,90.1,147.1,13.2,-54.1,84.7,-36.86,0,1.05,0.25,4.238,20220919_093618.984,PHASE_0,8.826,-2.505,-77.76
24.45,99.7,85.65,43.75,107.8,157.8,14.16,-57.46,79.2,-43.77,0,1.11,0.28,4.424,20220919_093619.093,PHASE_0,8.403,-2.541,-87.07
24.2,98.15,89.55,38.25,107.25,146.05,15.71,-61.91,76.7,-46.95,0,1.05,0,4.774,20220919_093619.201,PHASE_0,8.044,-2.49,-93.15
25.75,94.25,93.2,34.1,114.55,150.25,16.53,-63.63,74.4,-49.9,0,1.05,0.04,4.672,20220919_093619.310,PHASE_0,7.854,-2.426,-97
23.95,94.5,94.5,35.15,115.35,154.15,17.26,-65.86,71.7,-53.4,0,1.07,0.09,4.672,20220919_093619.420,PHASE_0,7.604,-2.377,-102
24.7,97.1,92.95,38,117.4,159.6,17.26,-65.86,71.7,-53.4,0,1.07,0.09,4.672,20220919_093619.530,PHASE_0,7.604,-2.377,-102
