Boom_Head_C_P,Arm_Rod_C_P,Arm_Head_C_P,Bkt_Rod_C_P,Bkt_Head_C_P,Boom_Rod_C_P,Boom_theta,Arm_theta,Bkt_theta,Jbkt ,Cabin_Slope_Yaw,Cabin_Slope_Pitch,Cabin_Slope_Roll,Dist,ImgName,Phase,distance,depth,bktAOA
22.9,192.95,26,225.75,129.9,178.1,14.81,-55.31,121.1,7.38,0,1.08,1.35,5.475,P_20220919_094629.318,PHASE_0,10.009,-1.485,-33.12
21.35,206.25,30.45,227.3,127.05,188,13.09,-51.39,113.8,-1.42,0,1.01,1.13,5.475,20220919_094631.589,PHASE_0,9.997,-1.753,-39.72
21.35,206.25,30.45,227.3,127.05,188,13.09,-51.39,113.8,-1.42,0,1.01,1.13,5.475,20220919_094631.643,PHASE_0,9.997,-1.753,-39.72
21.35,206.25,30.45,227.3,127.05,188,13.09,-51.39,113.8,-1.42,0,1.01,1.13,5.475,20220919_094631.706,PHASE_0,9.997,-1.753,-39.72
23.15,213,14.55,88,44.5,222.65,11.62,-48.82,101.3,-16.49,0,0.89,0.68,4.004,20220919_094631.814,PHASE_0,9.725,-2.185,-53.69
19.25,167.4,65.85,77.85,48.15,146.6,11.48,-51.58,99.2,-19.04,0,0.93,0.79,4.004,20220919_094631.924,PHASE_0,9.477,-2.424,-59.14
24.2,94.75,53.9,156.25,137.2,157.55,15.76,-59.16,85,-36.48,0,0.97,0.69,4.557,20220919_094632.252,PHASE_0,8.595,-2.35,-79.88
24.7,102.05,54.9,168.2,139.55,158.85,16.87,-62.27,82.8,-39.23,0,0.94,0.6,4.557,20220919_094632.361,PHASE_0,8.327,-2.333,-84.63
24.45,102.05,55.7,169.5,138.8,159.1,16.87,-62.27,82.8,-39.23,0,0.94,0.6,4.557,20220919_094632.473,PHASE_0,8.327,-2.333,-84.63
24.2,120.05,67.7,168.45,139.3,154.15,19.04,-67.84,80.5,-42.13,0,1,0.78,5.033,20220919_094632.584,PHASE_0,7.906,-2.242,-90.93
25.25,129.65,77.05,168.75,142.7,154.9,19.96,-70.16,79,-44.02,0,1.07,0.92,4.998,20220919_094632.690,PHASE_0,7.704,-2.192,-94.22
23.15,133.05,80.7,168.45,145.05,154.65,20.76,-72.66,77.6,-45.8,0,1.11,1,4.998,20220919_094632.802,PHASE_0,7.485,-2.157,-97.7
23.15,133.05,80.7,168.45,145.05,154.65,20.76,-72.66,77.6,-45.8,0,1.11,1,4.998,20220919_094632.912,PHASE_0,7.485,-2.157,-97.7
23.15,133.05,80.7,168.45,145.05,154.65,20.76,-72.66,77.6,-45.8,0,1.11,1,4.998,20220919_094633.018,PHASE_0,7.485,-2.157,-97.7
23.15,133.05,80.7,168.45,145.05,154.65,20.76,-72.66,77.6,-45.8,0,1.11,1,4.998,20220919_094633.128,PHASE_0,7.485,-2.157,-97.7
