Boom_Head_C_P,Arm_Rod_C_P,Arm_Head_C_P,Bkt_Rod_C_P,Bkt_Head_C_P,Boom_Rod_C_P,Boom_theta,Arm_theta,Bkt_theta,Jbkt ,Cabin_Slope_Yaw,Cabin_Slope_Pitch,Cabin_Slope_Roll,Dist,ImgName,Phase,distance,depth,bktAOA
21.35,222.9,25.5,175.75,93.75,175.75,15.11,-37.01,90.1,-30.16,0,1.12,0.44,4.388,P_20220919_095604.020,PHASE_0,10.09,-1.062,-52.06
18.75,228.9,23.4,190.85,95.3,179.15,15.11,-37.01,90.1,-30.16,0,1.12,0.44,4.388,20220919_095605.455,PHASE_0,10.09,-1.062,-52.06
20.05,245.55,20.05,194.75,98.95,189.05,12.83,-36.53,88.1,-32.63,0,1.19,0.76,3.874,20220919_095605.531,PHASE_0,9.995,-1.477,-56.33
22.9,235.9,13.8,166.4,97.1,204.15,7.57,-37.37,88.5,-32.14,0,1.33,1.2,2.989,20220919_095605.640,PHASE_0,9.785,-2.432,-61.94
22.9,103.35,83.85,106.75,116.4,117.15,7.14,-40.04,89.4,-31.03,0,1.14,0.57,2.947,20220919_095605.752,PHASE_0,9.643,-2.653,-63.93
25.25,109.85,93.75,118.2,144.5,137.5,10.2,-44.9,76.7,-46.95,0,1.07,0.28,3.082,20220919_095605.970,PHASE_0,8.969,-2.582,-81.65
24.45,105.7,95.05,114.55,147.65,138,10.2,-44.9,76.7,-46.95,0,1.07,0.28,3.289,20220919_095606.078,PHASE_0,8.969,-2.582,-81.65
25.75,103.6,95.55,115.1,147.9,140.1,11.3,-48.1,77,-46.57,0,1.08,0.29,3.289,20220919_095606.188,PHASE_0,8.823,-2.564,-83.37
25.75,101.55,99.2,113.8,150.5,136.15,12.35,-50.05,75.7,-48.23,0,1.08,0.33,3.518,20220919_095606.299,PHASE_0,8.684,-2.499,-85.93
23.4,96.85,97.9,113.25,150.75,134.6,12.35,-50.05,75.7,-48.23,0,1.08,0.33,3.641,20220919_095606.408,PHASE_0,8.684,-2.499,-85.93
24.7,91.4,100.5,108.05,152.6,132.55,13.33,-52.83,75.8,-48.1,0,1.1,0.46,3.641,20220919_095606.520,PHASE_0,8.543,-2.475,-87.6
24.7,91.4,100.5,108.05,152.6,132.55,13.33,-52.83,75.8,-48.1,0,1.1,0.46,3.641,20220919_095606.626,PHASE_0,8.543,-2.475,-87.6
24.7,91.4,100.5,108.05,152.6,132.55,13.33,-52.83,75.8,-48.1,0,1.1,0.46,3.641,20220919_095606.741,PHASE_0,8.543,-2.475,-87.6
