Boom_Head_C_P,Arm_Rod_C_P,Arm_Head_C_P,Bkt_Rod_C_P,Bkt_Head_C_P,Boom_Rod_C_P,Boom_theta,Arm_theta,Bkt_theta,Jbkt ,Cabin_Slope_Yaw,Cabin_Slope_Pitch,Cabin_Slope_Roll,Dist,ImgName,Phase,distance,depth,bktAOA
21.05,254.9,20.05,142.95,91.1,133.05,11.91,-44.31,104.4,-12.75,0,1.24,0.4,4.019,P_20220919_093654.618,PHASE_0,10.086,-1.753,-45.15
21.6,257.55,13.8,151,78.35,228.35,8.06,-30.36,87.8,-33,0,1.22,0.23,3.665,20220919_093656.280,PHASE_0,10.147,-1.897,-55.3
22.9,234.35,101.3,102.85,110.65,138,6.5,-38.1,86.8,-34.24,0,1.18,0.19,3.057,20220919_093656.390,PHASE_0,9.631,-2.69,-65.84
23.15,101.55,72.9,44.5,102.6,151,7.57,-39.07,69.3,-56.55,0,1.14,0.04,3.071,20220919_093656.499,PHASE_0,8.893,-2.738,-88.05
24.7,105.95,68.45,45.05,93.75,143.2,10.56,-45.56,67,-59.59,0,1.14,0.01,3.555,20220919_093656.609,PHASE_0,8.517,-2.571,-94.59
26.55,125,91.9,36.95,111.45,143.45,11.41,-47.41,64.4,-63.07,0,1.18,0.12,3.767,20220919_093656.717,PHASE_0,8.318,-2.506,-99.07
19,101.55,96.05,33.85,122.65,146.35,12.04,-49.94,61.5,-67.02,0,1.19,0.15,3.767,20220919_093656.825,PHASE_0,8.049,-2.481,-104.92
23.4,118.75,84.1,43.2,113.25,148.15,12.04,-49.94,61.5,-67.02,0,1.19,0.15,3.767,20220919_093656.942,PHASE_0,8.049,-2.481,-104.92
22.35,121.85,89.8,41.65,117.15,150.5,12.63,-51.23,60.5,-68.39,0,1.19,0.16,3.94,20220919_093657.048,PHASE_0,7.944,-2.429,-106.99
22.35,121.85,89.8,41.65,117.15,150.5,12.63,-51.23,60.5,-68.39,0,1.19,0.16,3.94,20220919_093657.161,PHASE_0,7.944,-2.429,-106.99
26.55,123.15,91.1,41.9,127.6,160.9,13.13,-54.53,59.9,-69.22,0,1.18,0.14,4.091,20220919_093657.267,PHASE_0,7.719,-2.453,-110.62
23.65,117.15,93.75,39.55,135.9,163,13.13,-54.53,59.9,-69.22,0,1.18,0.14,4.091,20220919_093657.375,PHASE_0,7.719,-2.453,-110.62
23.65,117.15,93.75,39.55,135.9,163,13.13,-54.53,59.9,-69.22,0,1.18,0.14,4.091,20220919_093657.488,PHASE_0,7.719,-2.453,-110.62
24.7,114.05,95.05,42.15,140.35,168.45,13.5,-56.7,58.2,-71.59,0,1.17,0.09,4.182,20220919_093657.592,PHASE_0,7.514,-2.431,-114.79
24.7,114.05,95.05,42.15,140.35,168.45,13.5,-56.7,58.2,-71.59,0,1.17,0.09,4.182,20220919_093657.704,PHASE_0,7.514,-2.431,-114.79
25,94,98.15,33.55,165.35,179.4,13.83,-61.43,54.8,-76.42,0,1.17,0.08,4.19,20220919_093657.813,PHASE_0,7.064,-2.411,-124.02
22.9,78.1,108.05,32.8,189.55,179.15,14.45,-64.25,53.4,-78.44,0,1.17,0.08,4.096,20220919_093657.922,PHASE_0,6.843,-2.341,-128.24
22.9,78.1,108.05,32.8,189.55,179.15,14.45,-64.25,53.4,-78.44,0,1.17,0.08,4.096,20220919_093658.036,PHASE_0,6.843,-2.341,-128.24
25.5,67.95,107.55,36.15,200.75,170.8,14.71,-66.81,51.9,-80.63,0,1.18,0.14,4.096,20220919_093658.139,PHASE_0,6.623,-2.293,-132.73
23.65,63,115.85,24.2,213.25,166.9,14.71,-66.81,51.9,-80.63,0,1.18,0.14,4.023,20220919_093658.245,PHASE_0,6.623,-2.293,-132.73
22.9,74.7,118.45,23.15,222.65,157,15.05,-69.45,50.5,-82.7,0,1.21,0.21,4.023,20220919_093658.357,PHASE_0,6.409,-2.228,-137.1
22.65,99.2,93.75,43.75,210.4,167.15,15.05,-69.45,50.5,-82.7,0,1.21,0.21,3.93,20220919_093658.468,PHASE_0,6.409,-2.228,-137.1
22.9,90.6,107,48.15,271.05,212.5,15.08,-71.48,50,-83.45,0,1.21,0.21,3.93,20220919_093658.576,PHASE_0,6.257,-2.217,-139.85
20.8,133.85,18.75,203.6,236.15,247.1,15.06,-72.16,44.4,-92.06,0,1.18,0.18,3.769,20220919_093658.906,PHASE_0,6.044,-1.984,-149.16
24.7,138.25,19.5,210.9,235.65,245.05,15.06,-72.16,44.4,-92.06,0,1.18,0.18,3.606,20220919_093659.014,PHASE_0,6.044,-1.984,-149.16
24.7,138.25,19.5,210.9,235.65,245.05,15.06,-72.16,44.4,-92.06,0,1.18,0.18,3.606,20220919_093659.123,PHASE_0,6.044,-1.984,-149.16
23.95,132.8,27.3,215.6,241.4,239.05,15.15,-75.05,42.7,-94.78,0,1.18,0.23,3.606,20220919_093659.236,PHASE_0,5.824,-1.89,-154.68
23.95,132.8,27.3,215.6,241.4,239.05,15.15,-75.05,42.7,-94.78,0,1.18,0.23,3.606,20220919_093659.348,PHASE_0,5.824,-1.89,-154.68
23.95,132.8,27.3,215.6,241.4,239.05,15.15,-75.05,42.7,-94.78,0,1.18,0.23,3.606,20220919_093659.457,PHASE_0,5.824,-1.89,-154.68
23.95,132.8,27.3,215.6,241.4,239.05,15.15,-75.05,42.7,-94.78,0,1.18,0.23,3.606,20220919_093659.563,PHASE_0,5.824,-1.89,-154.68
23.95,132.8,27.3,215.6,241.4,239.05,15.15,-75.05,42.7,-94.78,0,1.18,0.23,3.606,20220919_093659.674,PHASE_0,5.824,-1.89,-154.68
23.4,131.5,34.1,198.65,245.55,232,15.68,-74.38,37.8,-102.95,0,1.21,0.25,3.528,20220919_093659.780,PHASE_0,5.777,-1.583,-161.65
23.4,131.5,27.6,211.45,238.5,229.4,16.32,-75.22,36.7,-104.87,0,1.22,0.25,3.537,20220919_093659.892,PHASE_0,5.728,-1.453,-163.77
24.2,130.7,28.6,212.5,236.45,226.55,16.32,-75.22,36.7,-104.87,0,1.22,0.25,3.537,20220919_093659.999,PHASE_0,5.728,-1.453,-163.77
23.15,129.4,30.7,210.4,232.8,226.55,16.7,-75.4,37.6,-103.3,0,1.21,0.18,3.533,20220919_093700.109,PHASE_0,5.743,-1.465,-162
24.2,131.25,31.5,174.45,238,237.5,17.12,-75.42,37.4,-103.65,0,1.21,0.18,3.525,20220919_093700.219,PHASE_0,5.748,-1.412,-161.95
