Boom_Head_C_P,Arm_Rod_C_P,Arm_Head_C_P,Bkt_Rod_C_P,Bkt_Head_C_P,Boom_Rod_C_P,Boom_theta,Arm_theta,Bkt_theta,Jbkt ,Cabin_Slope_Yaw,Cabin_Slope_Pitch,Cabin_Slope_Roll,Dist,ImgName,Phase,distance,depth,bktAOA
20.05,213.8,32.8,172.9,93.2,179.65,12.93,-47.33,108.9,-7.32,0,1.12,-0.28,4.443,P_20220919_093836.952,PHASE_0,10.082,-1.651,-41.72
22.65,208.05,34.1,165.85,95.55,180.95,12.93,-47.33,108.9,-7.32,0,1.12,-0.28,4.18,20220919_093838.671,PHASE_0,10.082,-1.651,-41.72
23.15,217.4,28.9,115.35,65.1,187.75,10.14,-46.74,106.7,-9.97,0,1.28,0.19,3.933,20220919_093838.764,PHASE_0,9.96,-2.163,-46.57
25.25,169.75,113.5,117.4,139.55,130.2,8.98,-47.48,93.5,-25.99,0,1.3,0.32,3.453,20220919_093838.876,PHASE_0,9.421,-2.71,-64.49
23.65,96.05,79.65,42.7,102.05,154.15,11.26,-51.06,76.9,-46.7,0,1.25,0.04,3.731,20220919_093838.980,PHASE_0,8.618,-2.706,-86.5
23.4,106.25,82.8,39.55,107.25,147.65,13.04,-53.64,74.6,-49.65,0,1.22,-0.06,4.126,20220919_093839.097,PHASE_0,8.422,-2.553,-90.25
24.7,104.9,89.55,38.25,110.4,154.15,13.76,-55.46,72.5,-52.36,0,1.21,-0.11,4.126,20220919_093839.203,PHASE_0,8.236,-2.517,-94.06
23.95,103.9,89.55,36.95,114.55,160.65,13.76,-55.46,72.5,-52.36,0,1.21,-0.11,4.126,20220919_093839.308,PHASE_0,8.236,-2.517,-94.06
24.7,105.7,89.55,38.25,117.95,161.95,14.4,-57.5,70.6,-54.84,0,1.21,-0.13,4.231,20220919_093839.421,PHASE_0,8.038,-2.492,-97.94
23.15,99.45,91.9,35.9,121.6,162.5,14.4,-57.5,70.6,-54.84,0,1.21,-0.13,4.231,20220919_093839.529,PHASE_0,8.038,-2.492,-97.94
