Boom_Head_C_P,Arm_Rod_C_P,Arm_Head_C_P,Bkt_Rod_C_P,Bkt_Head_C_P,Boom_Rod_C_P,Boom_theta,Arm_theta,Bkt_theta,Jbkt ,Cabin_Slope_Yaw,Cabin_Slope_Pitch,Cabin_Slope_Roll,Dist,ImgName,Phase,distance,depth,bktAOA
22.1,169,29.65,144,85.65,146.85,14.16,-36.06,102.5,-15.04,0,1.17,0.57,4.039,P_20220919_093628.862,PHASE_0,10.473,-0.799,-36.94
20.3,172.1,21.05,144,81.75,157.55,12.8,-42.9,102.7,-14.8,0,1.12,0.32,4.039,20220919_093630.773,PHASE_0,10.136,-1.545,-44.9
20.3,172.1,21.05,144,81.75,157.55,12.8,-42.9,102.7,-14.8,0,1.12,0.32,4.039,20220919_093630.818,PHASE_0,10.136,-1.545,-44.9
25.75,189.05,18.2,145.05,81.75,180.7,12.8,-42.9,102.7,-14.8,0,1.12,0.32,3.798,20220919_093630.906,PHASE_0,10.136,-1.545,-44.9
24.2,232.55,49.7,71.35,63.5,204.9,8.76,-42.16,93.1,-26.48,0,0.94,-0.3,3.573,20220919_093631.016,PHASE_0,9.725,-2.437,-59.88
24.2,95.3,57,61.95,91.1,146.35,9.44,-45.84,84.6,-36.98,0,1.05,-0.09,3.553,20220919_093631.123,PHASE_0,9.202,-2.678,-73.38
23.65,110.4,74.45,114.55,133.85,154.4,11.58,-48.08,73.6,-50.94,0,1.17,0.23,3.725,20220919_093631.234,PHASE_0,8.69,-2.532,-87.44
24.2,127.05,86.95,116.1,143.45,155.7,14.36,-56.36,68.8,-57.2,0,1.19,0.32,4.133,20220919_093631.349,PHASE_0,8.037,-2.446,-99.2
21.6,110.15,99.45,99.7,155.2,152.3,15.88,-60.68,68.3,-57.87,0,1.18,0.23,4.602,20220919_093631.450,PHASE_0,7.775,-2.375,-102.67
16.4,100.25,104.65,94.75,159.6,148.4,16.51,-63.31,67.8,-58.53,0,1.18,0.23,4.602,20220919_093631.562,PHASE_0,7.591,-2.363,-105.33
