Boom_Head_C_P,Arm_Rod_C_P,Arm_Head_C_P,Bkt_Rod_C_P,Bkt_Head_C_P,Boom_Rod_C_P,Boom_theta,Arm_theta,Bkt_theta,Jbkt ,Cabin_Slope_Yaw,Cabin_Slope_Pitch,Cabin_Slope_Roll,Dist,ImgName,Phase,distance,depth,bktAOA
23.15,192.15,12.2,79.65,45.3,187.5,9.93,-39.13,110.5,-5.39,0,1.01,0.49,3.877,P_20220919_093521.321,PHASE_0,10.444,-1.541,-34.59
22.9,204.9,14.8,80.95,47.1,187.5,9.15,-35.85,104.2,-12.99,0,1.01,0.51,3.735,20220919_093522.570,PHASE_0,10.418,-1.642,-39.69
23.4,186.45,49.2,81.5,70.3,55.95,8.39,-39.09,92.3,-27.46,0,1.01,0.47,3.577,20220919_093522.657,PHASE_0,9.858,-2.323,-58.16
25.25,97.9,63,124.45,137.2,159.85,13.66,-53.16,72,-53.01,0,1,0.47,4.04,20220919_093522.981,PHASE_0,8.369,-2.44,-92.51
26.55,98.15,59.1,124.7,136.95,159.85,13.66,-53.16,72,-53.01,0,1,0.47,4.237,20220919_093523.093,PHASE_0,8.369,-2.44,-92.51
25.25,110.65,73.65,136.7,145.3,160.15,14.74,-55.04,70.4,-55.1,0,1.01,0.53,4.452,20220919_093523.198,PHASE_0,8.215,-2.353,-95.4
27.05,127.3,83.55,135.65,147.65,150.75,15.77,-57.17,68.3,-57.87,0,1.03,0.58,4.452,20220919_093523.312,PHASE_0,8.017,-2.273,-99.27
34.85,136.45,94.25,150.75,163.25,129.15,15.77,-57.17,68.3,-57.87,0,1.03,0.58,4.503,20220919_093523.420,PHASE_0,8.017,-2.273,-99.27
34.85,136.45,94.25,150.75,163.25,129.15,15.77,-57.17,68.3,-57.87,0,1.03,0.58,4.503,20220919_093523.529,PHASE_0,8.017,-2.273,-99.27
38.8,122.9,104.65,199.2,197.9,120.8,16.55,-59.65,66.7,-59.99,0,1.03,0.61,4.449,20220919_093523.639,PHASE_0,7.804,-2.235,-103.09
26.8,111.7,105.7,206.25,213.5,131.75,16.8,-62,64.9,-62.4,0,1.04,0.6,4.449,20220919_093523.751,PHASE_0,7.57,-2.251,-107.6
27.05,91.65,117.7,210.65,235.4,134.1,16.8,-62,64.9,-62.4,0,1.04,0.6,4.352,20220919_093523.860,PHASE_0,7.57,-2.251,-107.6
24.2,53.6,125.75,52.6,179.65,133.85,17.13,-66.13,62.7,-65.38,0,1.03,0.51,4.352,20220919_093524.188,PHASE_0,7.195,-2.275,-114.38
26,55.95,110.15,24.7,156.25,153.6,17.13,-66.13,62.7,-65.38,0,1.03,0.51,4.292,20220919_093524.295,PHASE_0,7.195,-2.275,-114.38
26.3,58.05,113.8,31.25,163.8,157.55,17.47,-70.27,64.9,-62.4,0,1,0.37,4.253,20220919_093524.403,PHASE_0,6.999,-2.358,-115.2
26.55,62.2,106.25,40.35,167.15,155.2,17.86,-71.06,63.4,-64.43,0,0.96,0.28,4.253,20220919_093524.513,PHASE_0,6.895,-2.294,-117.63
25.25,64.55,104.65,48.15,168.2,159.6,17.86,-75.26,62.5,-65.65,0,1,0.43,4.256,20220919_093524.626,PHASE_0,6.55,-2.331,-123.05
24.2,66.4,105.95,55.45,172.1,166.65,18.13,-75.53,62.5,-65.65,0,1,0.43,4.256,20220919_093524.732,PHASE_0,6.541,-2.303,-123.05
22.9,65.1,111.7,56.5,182.8,175,18.22,-76.82,59.1,-70.34,0,1.04,0.51,4.239,20220919_093524.839,PHASE_0,6.322,-2.212,-128.94
24.7,55.45,129.65,52.05,206.75,172.1,18.22,-76.82,59.1,-70.34,0,1.04,0.51,4.239,20220919_093524.952,PHASE_0,6.322,-2.212,-128.94
30.2,53.35,135.4,47.65,217.15,170.55,18.25,-77.55,57,-73.28,0,1.01,0.46,4.325,20220919_093525.060,PHASE_0,6.195,-2.148,-132.58
34.85,51.8,143.2,39.55,222.65,165.35,18.25,-77.55,57,-73.28,0,1.01,0.46,4.325,20220919_093525.170,PHASE_0,6.195,-2.148,-132.58
44.5,49.7,155.45,34.1,231.25,36.95,18.35,-80.65,56.6,-73.85,0,1.05,0.61,4.325,20220919_093525.279,PHASE_0,5.963,-2.133,-136.15
61.7,69.5,151.8,35.65,236.7,147.35,18.35,-80.65,56.6,-73.85,0,1.05,0.61,4.325,20220919_093525.388,PHASE_0,5.963,-2.133,-136.15
44.25,74.7,124.7,68.45,223.65,157,18.35,-83.05,55.2,-75.84,0,1.07,0.61,4.274,20220919_093525.498,PHASE_0,5.748,-2.08,-140.54
24.7,74.2,122.9,70.05,244.25,179.15,18.35,-83.05,55.2,-75.84,0,1.07,0.61,4.274,20220919_093525.610,PHASE_0,5.748,-2.08,-140.54
23.65,151.55,22.1,119.25,172.9,267.95,18.5,-88.1,48.3,-86.01,0,1.04,0.54,5.458,20220919_093526.044,PHASE_0,5.23,-1.737,-155.61
25.25,151.3,20.05,86.7,172.9,277.85,18.5,-88.1,48.3,-86.01,0,1.04,0.54,5.458,20220919_093526.157,PHASE_0,5.23,-1.737,-155.61
24.7,139.55,35.9,62.5,184.35,259.1,18.95,-87.35,44.3,-92.22,0,1.01,0.5,5.532,20220919_093526.263,PHASE_0,5.212,-1.511,-160.62
27.85,126.55,52.05,57,201.8,229.4,18.95,-87.35,44.3,-92.22,0,1.01,0.5,5.532,20220919_093526.372,PHASE_0,5.212,-1.511,-160.62
24.2,125.5,55.7,72.65,184.1,216.1,19.91,-88.81,43.2,-93.97,0,1.01,0.49,5.532,20220919_093526.483,PHASE_0,5.128,-1.35,-162.87
23.95,138.8,36.7,81.25,174.7,210.15,19.91,-88.81,41.4,-96.9,0,1.05,0.65,5.532,20220919_093526.595,PHASE_0,5.101,-1.255,-165.8
23.95,148.4,61.7,52.6,189.8,207,22.28,-91.98,34.4,-108.98,0,1.07,0.67,5.75,20220919_093526.703,PHASE_0,4.909,-0.599,-178.68
23.15,203.35,74.45,45.05,191.9,89.05,23.33,-88.53,33.7,-110.26,0,1.04,0.54,6.154,20220919_093526.923,PHASE_0,5.096,-0.509,-175.46
23.4,227.05,80.45,38.25,198.65,218.45,23.33,-88.53,33.7,-110.26,0,1.04,0.54,6.154,20220919_093527.028,PHASE_0,5.096,-0.509,-175.46
21.6,247.35,87.2,30.45,205.95,221.05,24.35,-91.45,29.1,-119.09,0,1.07,0.6,6.154,20220919_093527.136,PHASE_0,4.962,-0.088,-186.19
18.2,278.35,106.25,21.05,215.85,223.4,25.34,-88.94,29.3,-118.69,0,1.04,0.57,6.448,20220919_093527.358,PHASE_0,5.08,-0.042,-182.29
23.4,295.3,115.85,17.95,217.95,223.65,25.34,-88.94,29.3,-118.69,0,1.04,0.57,6.689,20220919_093527.467,PHASE_0,5.08,-0.042,-182.29
