Boom_Head_C_P,Arm_Rod_C_P,Arm_Head_C_P,Bkt_Rod_C_P,Bkt_Head_C_P,Boom_Rod_C_P,Boom_theta,Arm_theta,Bkt_theta,Jbkt ,Cabin_Slope_Yaw,Cabin_Slope_Pitch,Cabin_Slope_Roll,Dist,ImgName,Phase,distance,depth,bktAOA
25.75,203.6,39.55,128.1,64.05,186.7,15.69,-60.49,120.3,6.42,0,0.98,0.25,4.909,20220919_093536.658,PHASE_0,9.721,-1.708,-38.38
22.1,199.2,46.35,141.4,84.85,160.15,11.9,-59.3,116.4,1.71,0,1.03,0.47,4.131,20220919_093536.765,PHASE_0,9.553,-2.389,-45.69
25.5,142.95,102.6,108.05,117.15,103.35,9.21,-55.51,112.6,-2.87,0,1.01,0.44,3.624,20220919_093536.875,PHASE_0,9.563,-2.715,-49.17
23.15,121.05,155.45,188,219.5,82.8,8.77,-56.37,93.8,-25.62,0,1.04,0.54,3.543,20220919_093536.986,PHASE_0,8.813,-3.199,-73.22
26,59.6,85.65,34.35,99.2,133.3,9.97,-55.97,87.7,-33.13,0,1.03,0.42,3.564,20220919_093537.093,PHASE_0,8.661,-3.059,-79.13
26,59.6,85.65,34.35,99.2,133.3,9.97,-55.97,87.7,-33.13,0,1.03,0.42,3.564,20220919_093537.207,PHASE_0,8.661,-3.059,-79.13
26,59.6,85.65,34.35,99.2,133.3,9.97,-55.97,87.7,-33.13,0,1.03,0.42,3.564,20220919_093537.312,PHASE_0,8.661,-3.059,-79.13
26,59.6,85.65,34.35,99.2,133.3,9.97,-55.97,87.7,-33.13,0,1.03,0.42,3.564,20220919_093537.425,PHASE_0,8.661,-3.059,-79.13
26,59.6,85.65,34.35,99.2,133.3,9.97,-55.97,87.7,-33.13,0,1.03,0.42,3.564,20220919_093537.530,PHASE_0,8.661,-3.059,-79.13
26,59.6,85.65,34.35,99.2,133.3,9.97,-55.97,87.7,-33.13,0,1.03,0.42,3.564,20220919_093537.641,PHASE_0,8.661,-3.059,-79.13
26,77.85,84.1,43.75,98.15,148.4,12.13,-59.33,89.9,-30.41,0,0.98,0.32,3.922,20220919_093537.751,PHASE_0,8.619,-2.863,-77.61
26.3,81.5,92.4,35.9,101.8,135.65,14.27,-61.97,85.9,-35.36,0,1.03,0.55,4.196,20220919_093537.860,PHASE_0,8.365,-2.685,-83.06
