Boom_Head_C_P,Arm_Rod_C_P,Arm_Head_C_P,Bkt_Rod_C_P,Bkt_Head_C_P,Boom_Rod_C_P,Boom_theta,Arm_theta,Bkt_theta,Jbkt ,Cabin_Slope_Yaw,Cabin_Slope_Pitch,Cabin_Slope_Roll,Dist,ImgName,Phase,distance,depth,bktAOA
21.6,206.25,30.2,210.65,121.6,171.85,12.89,-49.19,108.1,-8.28,0,0.59,0.87,4.425,20220919_094037.978,PHASE_0,9.958,-1.81,-44.58
21.35,210.9,28.9,179.15,105.95,57.55,10.48,-45.38,106.9,-9.73,0,0.65,1.22,4.425,20220919_094038.095,PHASE_0,10.054,-2.006,-44.63
26.3,239.55,50.25,69.25,51.8,178.1,7.28,-42.58,101.3,-16.49,0,0.72,1.53,3.308,20220919_094038.202,PHASE_0,9.915,-2.528,-51.79
23.95,94.5,55.95,50.5,77.3,126.3,8.32,-40.22,79.9,-42.88,0,0.72,1.66,3.136,20220919_094038.310,PHASE_0,9.313,-2.609,-74.78
22.9,101.8,81.25,38.25,105.45,150,9.94,-45.74,74.5,-49.78,0,0.76,1.78,3.44,20220919_094038.421,PHASE_0,8.808,-2.673,-85.58
18.2,109.85,86.15,34.85,102.6,150.75,11.89,-48.89,73.5,-51.07,0,0.58,1.24,3.788,20220919_094038.530,PHASE_0,8.645,-2.522,-88.07
24.7,90.35,90.35,31.25,121.6,155.95,12.74,-52.44,71.5,-53.66,0,0.52,1.11,3.862,20220919_094038.641,PHASE_0,8.356,-2.544,-93.36
24.7,90.35,90.35,31.25,121.6,155.95,12.74,-52.44,71.5,-53.66,0,0.52,1.11,3.862,20220919_094038.750,PHASE_0,8.356,-2.544,-93.36
23.65,111.95,83.05,35.9,105.95,139.8,14.54,-56.44,67.9,-58.39,0,0.52,1.1,3.892,20220919_094038.861,PHASE_0,8,-2.417,-100.29
24.2,105.2,97.65,30.7,122.1,148.65,15.29,-58.49,67.2,-59.32,0,0.57,1.18,3.892,20220919_094038.970,PHASE_0,7.857,-2.375,-102.52
24.2,89.55,89.55,34.1,132,154.9,15.29,-58.49,67.2,-59.32,0,0.57,1.18,4.118,20220919_094039.076,PHASE_0,7.857,-2.375,-102.52
24.45,97.35,98.15,38.8,135.15,150,16.04,-59.94,64.7,-62.67,0,0.58,1.13,4.118,20220919_094039.188,PHASE_0,7.677,-2.29,-106.57
23.4,89.55,97.9,39.8,130.7,146.05,16.04,-59.94,64.7,-62.67,0,0.58,1.13,4.396,20220919_094039.298,PHASE_0,7.677,-2.29,-106.57
23.4,89.55,97.9,39.8,130.7,146.05,16.04,-59.94,64.7,-62.67,0,0.58,1.13,4.396,20220919_094039.405,PHASE_0,7.677,-2.29,-106.57
27.05,66.9,106.75,23.65,155.7,155.7,17.43,-65.33,63.1,-64.83,0,0.59,1.22,4.439,20220919_094039.515,PHASE_0,7.281,-2.226,-112.73
23.65,88.8,85.4,52.6,135.15,149.45,17.43,-65.33,63.1,-64.83,0,0.59,1.22,4.439,20220919_094039.625,PHASE_0,7.281,-2.226,-112.73
23.65,115.85,89.55,79.4,127.85,141.4,18.05,-66.55,61.6,-66.88,0,0.58,1.17,4.439,20220919_094039.732,PHASE_0,7.155,-2.147,-115.38
23.65,110.4,100.5,96.85,145.05,138,18.05,-66.55,61.6,-66.88,0,0.58,1.17,4.418,20220919_094039.845,PHASE_0,7.155,-2.147,-115.38
23.65,114.8,94.25,118.2,161.45,154.15,18.67,-70.47,60.5,-68.39,0,0.58,1.22,4.418,20220919_094039.958,PHASE_0,6.852,-2.122,-120.19
23.65,119.25,105.7,117.4,163.8,164.05,18.67,-70.67,59.9,-69.22,0,0.55,1.15,4.347,20220919_094040.064,PHASE_0,6.814,-2.111,-121.22
24.45,95.05,124.45,98.4,181.75,164.05,19.05,-71.05,59.9,-69.22,0,0.55,1.15,4.347,20220919_094040.167,PHASE_0,6.801,-2.072,-121.22
23.95,81.75,110.9,97.65,184.6,158.85,19.55,-74.75,56.6,-73.85,0,0.57,1.11,4.403,20220919_094040.280,PHASE_0,6.427,-1.972,-129.05
24.2,82.8,106.75,98.65,178.9,150.25,19.55,-74.75,56.6,-73.85,0,0.57,1.11,4.403,20220919_094040.388,PHASE_0,6.427,-1.972,-129.05
23.4,72.65,120.3,94.25,185.65,154.15,19.96,-76.16,58.5,-71.17,0,0.59,1.24,4.553,20220919_094040.502,PHASE_0,6.411,-1.995,-127.37
23.4,72.65,120.3,94.25,185.65,154.15,19.96,-76.16,58.5,-71.17,0,0.59,1.24,4.553,20220919_094040.610,PHASE_0,6.411,-1.995,-127.37
23.4,72.65,120.3,94.25,185.65,154.15,19.96,-76.16,58.5,-71.17,0,0.59,1.24,4.553,20220919_094040.725,PHASE_0,6.411,-1.995,-127.37
23.4,72.65,120.3,94.25,185.65,154.15,19.96,-76.16,58.5,-71.17,0,0.59,1.24,4.553,20220919_094040.828,PHASE_0,6.411,-1.995,-127.37
22.9,66.1,128.9,87.2,197.1,159.35,20.35,-81.15,59.4,-69.92,0,0.57,1.14,4.685,20220919_094040.935,PHASE_0,6.096,-2.015,-130.72
22.9,74.2,120.3,100.5,180.45,144.5,21.05,-85.35,58.6,-71.03,0,0.61,1.29,4.298,20220919_094041.045,PHASE_0,5.787,-1.925,-135.33
22.9,74.2,120.3,100.5,180.45,144.5,21.05,-85.35,58.6,-71.03,0,0.61,1.29,4.298,20220919_094041.157,PHASE_0,5.787,-1.925,-135.33
22.9,54.65,142.95,106.5,208.55,141.65,21.05,-85.35,58.6,-71.03,0,0.61,1.29,4.298,20220919_094041.269,PHASE_0,5.787,-1.925,-135.33
22.9,54.65,142.95,106.5,208.55,141.65,21.05,-85.35,58.6,-71.03,0,0.61,1.29,4.298,20220919_094041.376,PHASE_0,5.787,-1.925,-135.33
24.45,45.05,171.35,47.1,216.65,0,21.42,-90.82,60.5,-68.39,0,0.59,1.27,5.816,20220919_094041.703,PHASE_0,5.461,-1.936,-137.79
22.9,77.85,147.35,54.65,203.9,95.05,21.57,-93.77,57.5,-72.58,0,0.58,1.25,5.838,20220919_094041.810,PHASE_0,5.164,-1.787,-144.78
23.65,97.9,126.8,85.4,200.75,101.3,21.57,-96.57,55.6,-75.27,0,0.55,1.18,5.838,20220919_094041.919,PHASE_0,4.918,-1.673,-150.27
23.65,157,81.25,108.55,189.05,204.9,21.02,-97.82,44.2,-92.38,0,0.59,1.18,5.753,20220919_094042.580,PHASE_0,4.625,-1.156,-169.18
23.65,157,81.25,108.55,189.05,204.9,21.02,-97.82,44.2,-92.38,0,0.59,1.18,5.753,20220919_094042.687,PHASE_0,4.625,-1.156,-169.18
23.4,161.15,75.75,94.5,211.7,241.4,20.97,-98.07,43.5,-93.49,0,0.59,1.17,5.587,20220919_094042.795,PHASE_0,4.603,-1.118,-170.59
22.9,174.7,64.55,127.3,214.55,227.6,21.47,-98.47,41.2,-97.23,0,0.68,1.39,5.728,20220919_094042.903,PHASE_0,4.572,-0.945,-174.23
25.25,172.9,64.8,128.35,203.6,219.5,21.47,-98.47,41.2,-97.23,0,0.68,1.39,6.124,20220919_094043.015,PHASE_0,4.572,-0.945,-174.23
25,172.65,64.8,96.6,204.9,208.55,22.65,-99.85,34.1,-109.52,0,0.69,1.53,6.124,20220919_094043.127,PHASE_0,4.517,-0.407,-186.72
25.75,165.6,71.05,58.55,199.45,204.15,22.65,-99.85,34.1,-109.52,0,0.69,1.53,6.124,20220919_094043.234,PHASE_0,4.517,-0.407,-186.72
25.75,165.6,71.05,58.55,199.45,204.15,22.65,-99.85,34.1,-109.52,0,0.69,1.53,6.124,20220919_094043.347,PHASE_0,4.517,-0.407,-186.72
25.75,165.6,71.05,58.55,199.45,204.15,22.65,-99.85,34.1,-109.52,0,0.69,1.53,6.124,20220919_094043.454,PHASE_0,4.517,-0.407,-186.72
23.65,168.45,71.35,38.25,193.45,203.9,25.91,-105.01,35,-107.89,0,0.65,1.46,6.721,20220919_094043.565,PHASE_0,4.271,-0.096,-186.99
24.7,172.9,65.85,39.8,192.95,206.75,25.91,-105.01,35,-107.89,0,0.65,1.46,7.408,20220919_094043.671,PHASE_0,4.271,-0.096,-186.99
24.7,172.9,65.85,39.8,192.95,206.75,25.91,-105.01,35,-107.89,0,0.65,1.46,7.408,20220919_094043.782,PHASE_0,4.271,-0.096,-186.99
24.7,172.9,65.85,39.8,192.95,206.75,25.91,-105.01,35,-107.89,0,0.65,1.46,7.408,20220919_094043.891,PHASE_0,4.271,-0.096,-186.99
24.7,172.9,65.85,39.8,192.95,206.75,25.91,-105.01,35,-107.89,0,0.65,1.46,7.408,20220919_094044.001,PHASE_0,4.271,-0.096,-186.99
24.7,172.9,65.85,39.8,192.95,206.75,25.91,-105.01,35,-107.89,0,0.65,1.46,7.408,20220919_094044.111,PHASE_0,4.271,-0.096,-186.99
24.7,172.9,65.85,39.8,192.95,206.75,25.91,-105.01,35,-107.89,0,0.65,1.46,7.408,20220919_094044.232,PHASE_0,4.271,-0.096,-186.99
24.7,172.9,65.85,39.8,192.95,206.75,25.91,-105.01,35,-107.89,0,0.65,1.46,7.408,20220919_094044.328,PHASE_0,4.271,-0.096,-186.99
24.7,172.9,65.85,39.8,192.95,206.75,25.91,-105.01,35,-107.89,0,0.65,1.46,7.408,20220919_094044.437,PHASE_0,4.271,-0.096,-186.99
24.7,172.9,65.85,39.8,192.95,206.75,25.91,-105.01,35,-107.89,0,0.65,1.46,7.408,P_20220919_094044.529,PHASE_0,4.271,-0.096,-186.99
