Boom_Head_C_P,Arm_Rod_C_P,Arm_Head_C_P,Bkt_Rod_C_P,Bkt_Head_C_P,Boom_Rod_C_P,Boom_theta,Arm_theta,Bkt_theta,Jbkt ,Cabin_Slope_Yaw,Cabin_Slope_Pitch,Cabin_Slope_Roll,Dist,ImgName,Phase,distance,depth,bktAOA
21.05,176.8,14.3,156.25,79.9,196.05,16.14,-44.84,106.4,-10.33,0,0.96,0.67,5.459,P_20220919_095730.768,PHASE_0,10.216,-0.98,-39.03
23.95,182.8,14.55,156.25,79.9,199.7,16.14,-48.14,104.4,-12.75,0,0.96,0.67,4.941,20220919_095732.582,PHASE_0,9.996,-1.278,-44.75
23.95,182.8,14.55,156.25,79.9,199.7,16.14,-48.14,104.4,-12.75,0,0.96,0.67,4.941,20220919_095732.626,PHASE_0,9.996,-1.278,-44.75
22.1,195.55,16.4,157,78.35,204.15,12.89,-47.59,102.1,-15.53,0,0.97,0.83,4.518,20220919_095732.704,PHASE_0,9.868,-1.868,-50.23
23.65,191.4,39.05,76.3,44.25,191.9,11.84,-49.24,98.4,-20.01,0,1,0.96,4.193,20220919_095732.810,PHASE_0,9.61,-2.241,-57.41
23.65,97.65,51.55,111.95,109.85,149.7,12.78,-53.18,87.4,-33.5,0,1.01,0.99,4.244,20220919_095732.927,PHASE_0,8.981,-2.497,-73.9
25.25,124.2,85.65,116.1,131.75,150.25,14.25,-57.65,82,-40.24,0,0.97,0.88,4.483,20220919_095733.035,PHASE_0,8.512,-2.526,-83.64
24.2,129.9,92.95,135.9,144,144.25,15.87,-61.47,77,-46.57,0,0.96,0.76,4.787,20220919_095733.146,PHASE_0,8.095,-2.452,-92.17
24.2,129.9,92.95,135.9,144,144.25,15.87,-61.47,77,-46.57,0,0.96,0.76,4.787,20220919_095733.253,PHASE_0,8.095,-2.452,-92.17
24.7,130.7,96.35,138.25,151.3,152.3,15.87,-63.47,75.2,-48.88,0,0.96,0.89,4.787,20220919_095733.363,PHASE_0,7.871,-2.516,-96.48
24.2,127.05,98.15,161.45,164.8,141.9,17.23,-65.73,74.2,-50.16,0,0.97,0.9,4.898,20220919_095733.476,PHASE_0,7.72,-2.397,-98.66
25.75,97.9,107.55,183.85,199.45,140.85,18.34,-71.64,72.5,-52.36,0,0.97,0.82,4.812,20220919_095733.580,PHASE_0,7.25,-2.396,-105.66
23.15,92.4,110.15,182.55,207.25,140.35,18.34,-71.64,72.5,-52.36,0,0.97,0.82,4.758,20220919_095733.690,PHASE_0,7.25,-2.396,-105.66
23.65,72.35,122.1,196.6,228.9,133.3,19.15,-76.95,72.4,-52.49,0,0.94,0.75,4.719,20220919_095733.798,PHASE_0,6.871,-2.403,-110.29
23.15,67.7,129.9,206.25,242.4,125.75,19.15,-76.95,72.4,-52.49,0,0.94,0.75,4.781,20220919_095733.909,PHASE_0,6.871,-2.403,-110.29
23.15,65.1,140.1,210.65,251.3,0,19.36,-79.16,71.9,-53.14,0,0.93,0.72,4.781,20220919_095734.018,PHASE_0,6.688,-2.405,-112.94
23.4,60.15,145.55,211.7,256.75,123.4,19.36,-79.16,71.9,-53.14,0,0.93,0.72,4.781,20220919_095734.129,PHASE_0,6.688,-2.405,-112.94
22.9,45.3,168.2,121.35,236.15,140.85,19.44,-81.14,72.2,-52.75,0,0.96,0.75,4.969,20220919_095734.236,PHASE_0,6.548,-2.426,-114.45
24.45,45.3,164.55,55.95,195.05,154.65,19.52,-82.62,71.5,-53.66,0,0.96,0.75,4.969,20220919_095734.344,PHASE_0,6.408,-2.42,-116.76
23.65,43.75,164.05,31.25,181.25,163,19.52,-82.62,71.5,-53.66,0,0.96,0.75,4.356,20220919_095734.454,PHASE_0,6.408,-2.42,-116.76
23.95,46.6,155.7,34.1,172.9,164.05,19.8,-86,73.3,-51.33,0,0.94,0.71,4.356,20220919_095734.562,PHASE_0,6.222,-2.451,-117.53
24.45,48.15,144.25,38.8,164.55,161.15,19.8,-88.2,73.9,-50.55,0,0.94,0.76,4.337,20220919_095734.671,PHASE_0,6.07,-2.474,-118.95
21.6,46.6,142.15,41.4,169.75,157.8,20.21,-88.61,73.9,-50.55,0,0.94,0.76,4.337,20220919_095734.784,PHASE_0,6.055,-2.433,-118.95
23.4,47.9,146.85,44,180.95,160.15,20.57,-92.07,71.2,-54.05,0,0.97,0.81,5.956,20220919_095734.891,PHASE_0,5.695,-2.335,-125.55
24.7,48.15,155.95,47.9,191.1,162.2,20.57,-92.07,71.2,-54.05,0,0.97,0.81,5.956,20220919_095735.003,PHASE_0,5.695,-2.335,-125.55
23.65,43.75,167.7,52.3,202.6,162.5,20.67,-92.07,68.9,-57.07,0,0.97,0.82,6.036,20220919_095735.111,PHASE_0,5.617,-2.263,-128.47
23.65,43.75,167.7,52.3,202.6,162.5,20.67,-92.07,68.9,-57.07,0,0.97,0.82,6.036,20220919_095735.220,PHASE_0,5.617,-2.263,-128.47
23.65,43.75,167.7,52.3,202.6,162.5,20.67,-92.07,68.9,-57.07,0,0.97,0.82,6.036,20220919_095735.329,PHASE_0,5.617,-2.263,-128.47
22.9,36.15,222.65,31.25,245.3,166.4,20.69,-92.19,66.3,-60.52,0,0.98,0.88,6.036,20220919_095735.440,PHASE_0,5.52,-2.186,-132.02
26.8,34.85,239.55,29.9,261.15,160.65,20.69,-92.19,66.3,-60.52,0,0.98,0.88,6.036,20220919_095735.553,PHASE_0,5.52,-2.186,-132.02
29.4,35.9,242.15,31.5,269.5,160.65,20.73,-93.23,66.4,-60.39,0,1.01,0.95,6.086,20220919_095735.661,PHASE_0,5.445,-2.179,-132.89
22.9,39.3,236.95,30.7,262.75,44,20.69,-95.49,65.7,-61.33,0,1,0.89,6.123,20220919_095735.779,PHASE_0,5.249,-2.141,-136.13
22.9,39.3,236.95,30.7,262.75,44,20.69,-95.49,65.7,-61.33,0,1,0.89,6.123,20220919_095735.877,PHASE_0,5.249,-2.141,-136.13
22.9,43.45,222.65,46.85,281.25,179.15,20.58,-98.38,61.7,-66.74,0,0.97,0.83,6.095,20220919_095735.986,PHASE_0,4.914,-1.972,-144.54
22.65,37.2,229.9,59.85,302.3,187.5,20.58,-98.38,61.7,-66.74,0,0.97,0.83,6.095,20220919_095736.096,PHASE_0,4.914,-1.972,-144.54
22.65,37.2,229.9,59.85,302.3,187.5,20.58,-98.38,61.7,-66.74,0,0.97,0.83,6.095,20220919_095736.207,PHASE_0,4.914,-1.972,-144.54
23.65,139.55,147.9,85.9,234.85,235.9,20.44,-96.44,63.9,-63.75,0,0.97,0.82,6.041,20220919_095736.423,PHASE_0,5.113,-2.092,-139.75
23.15,177.3,122.9,106.25,222.9,240.1,20.29,-96.39,61.2,-67.43,0,0.96,0.82,5.981,20220919_095736.533,PHASE_0,5.034,-2.009,-143.53
