Boom_Head_C_P,Arm_Rod_C_P,Arm_Head_C_P,Bkt_Rod_C_P,Bkt_Head_C_P,Boom_Rod_C_P,Boom_theta,Arm_theta,Bkt_theta,Jbkt ,Cabin_Slope_Yaw,Cabin_Slope_Pitch,Cabin_Slope_Roll,Dist,ImgName,Phase,distance,depth,bktAOA
22.1,191.4,22.9,152.85,83.05,173.95,14.09,-42.49,100,-18.07,0,0.93,0.71,4.077,P_20220919_095717.318,PHASE_0,10.111,-1.365,-46.47
21.05,196.6,22.9,153.6,82.55,176.3,12.27,-43.17,98.1,-20.38,0,1.08,1.34,3.626,20220919_095719.348,PHASE_0,9.967,-1.783,-51.28
21.05,196.6,22.9,153.6,82.55,176.3,12.27,-43.17,98.1,-20.38,0,1.08,1.34,3.626,20220919_095719.393,PHASE_0,9.967,-1.783,-51.28
22.35,195.55,27.05,152.05,90.35,180.7,10.53,-42.63,95.9,-23.06,0,1.19,1.59,3.626,20220919_095719.471,PHASE_0,9.865,-2.102,-55.16
25.75,111.95,119.25,109.35,140.35,104.9,8.44,-44.14,91.5,-28.44,0,1.17,1.55,2.965,20220919_095719.580,PHASE_0,9.532,-2.642,-64.14
28.9,55.7,122.9,28.9,147.35,117.7,13.82,-56.22,76.4,-47.34,0,0.93,0.78,3.957,20220919_095719.907,PHASE_0,8.355,-2.544,-89.74
29.65,56.25,130.45,41.1,165.1,102.6,15.66,-62.56,75.7,-48.23,0,0.94,0.76,4.238,20220919_095720.017,PHASE_0,7.951,-2.516,-95.13
27.05,58.05,142.15,67.95,193.2,142.4,15.98,-63.58,73.4,-51.2,0,0.96,0.72,4.238,20220919_095720.124,PHASE_0,7.79,-2.494,-98.8
27.3,56.25,136.95,69.75,189.55,26.8,16.38,-65.48,70.2,-55.36,0,0.94,0.69,0,20220919_095720.236,PHASE_0,7.53,-2.468,-104.46
27.3,56.25,130.45,73.65,187.2,153.6,16.38,-65.48,70.2,-55.36,0,0.94,0.69,0,20220919_095720.343,PHASE_0,7.53,-2.468,-104.46
27.05,56.5,119.25,78.9,178.9,155.7,17.02,-68.82,69.9,-55.76,0,0.94,0.75,0,20220919_095720.454,PHASE_0,7.297,-2.465,-107.56
27.6,59.85,115.85,82,174.7,152.85,17.02,-68.82,69.9,-55.76,0,0.94,0.75,0,20220919_095720.567,PHASE_0,7.297,-2.465,-107.56
27.85,62.2,114.3,82,169.75,150.5,17.8,-72.3,72.2,-52.75,0,0.94,0.78,4.343,20220919_095720.674,PHASE_0,7.164,-2.475,-107.25
27.05,59.1,114.05,86.7,170.3,155.7,17.8,-72.3,72.2,-52.75,0,0.94,0.78,4.343,20220919_095720.783,PHASE_0,7.164,-2.475,-107.25
26.3,57.8,118.45,82.8,172.9,159.85,18.58,-74.78,71,-54.32,0,0.94,0.76,4.355,20220919_095720.894,PHASE_0,6.957,-2.412,-110.52
31.25,62.2,131.25,92.95,189.55,146.85,19.34,-76.14,70.5,-54.97,0,0.96,0.83,4.377,20220919_095721.002,PHASE_0,6.864,-2.336,-111.77
33.55,64.05,127.05,113.25,192.95,135.15,19.34,-76.14,70.5,-54.97,0,0.96,0.83,4.377,20220919_095721.116,PHASE_0,6.864,-2.336,-111.77
33.55,64.05,127.05,113.25,192.95,135.15,19.34,-76.14,70.5,-54.97,0,0.96,0.83,4.377,20220919_095721.222,PHASE_0,6.864,-2.336,-111.77
32,66.1,124.45,135.4,206.5,133.05,19.96,-78.06,70.9,-54.45,0,0.97,0.9,4.498,20220919_095721.334,PHASE_0,6.757,-2.301,-112.55
25.75,51.3,159.6,106.5,229.65,160.65,20.47,-80.67,68.5,-57.6,0,0.96,0.72,4.551,20220919_095721.546,PHASE_0,6.48,-2.232,-117.8
31.25,46.6,163,49.2,197.9,161.15,20.47,-80.67,68.5,-57.6,0,0.96,0.72,4.551,20220919_095721.658,PHASE_0,6.48,-2.232,-117.8
40.1,46.35,161.15,48.4,193.2,154.15,20.7,-82.7,70.5,-54.97,0,0.97,0.76,4.551,20220919_095721.766,PHASE_0,6.41,-2.268,-116.97
48.15,47.65,161.95,55.95,198.15,145.8,20.7,-82.7,70.5,-54.97,0,0.97,0.76,4.398,20220919_095721.878,PHASE_0,6.41,-2.268,-116.97
46.6,45.55,160.9,58.05,200.75,26.3,20.81,-86.21,71.2,-54.05,0,0.97,0.82,4.398,20220919_095721.983,PHASE_0,6.167,-2.299,-119.45
22.9,40.85,181.25,44.25,219.25,162.5,20.77,-88.07,67.8,-58.53,0,0.93,0.71,4.317,20220919_095722.093,PHASE_0,5.893,-2.229,-125.83
23.65,38.25,201,34.35,235.9,162.5,20.77,-88.07,67.8,-58.53,0,0.93,0.71,4.404,20220919_095722.203,PHASE_0,5.893,-2.229,-125.83
35.15,39.55,207,32.8,243.45,158.85,20.75,-87.55,64.3,-63.21,0,0.94,0.72,4.404,20220919_095722.318,PHASE_0,5.807,-2.133,-130.01
36.95,39.8,204.9,35.9,239.05,154.4,20.75,-87.55,64.3,-63.21,0,0.94,0.72,5.907,20220919_095722.422,PHASE_0,5.807,-2.133,-130.01
36.95,39.8,204.9,35.9,239.05,154.4,20.75,-87.55,64.3,-63.21,0,0.94,0.72,5.907,20220919_095722.532,PHASE_0,5.807,-2.133,-130.01
35.4,40.1,203.35,37.2,236.7,154.4,20.77,-90.87,65.7,-61.33,0,0.96,0.86,5.907,20220919_095722.644,PHASE_0,5.603,-2.166,-131.43
35.4,40.1,203.35,37.2,236.7,154.4,20.77,-90.87,65.7,-61.33,0,0.96,0.86,5.907,20220919_095722.752,PHASE_0,5.603,-2.166,-131.43
35.4,40.1,203.35,37.2,236.7,154.4,20.77,-90.87,65.7,-61.33,0,0.96,0.86,5.907,20220919_095722.864,PHASE_0,5.603,-2.166,-131.43
29.9,38.8,205.45,35.15,234.35,159.85,20.77,-90.87,65.7,-61.33,0,0.96,0.86,5.922,20220919_095722.973,PHASE_0,5.603,-2.166,-131.43
25.75,71.85,167.7,51.3,225.25,169.25,20.68,-93.48,60.6,-68.26,0,0.9,0.72,5.922,20220919_095723.081,PHASE_0,5.243,-1.987,-141.06
22.9,182.55,91.1,111.95,192.15,248.65,20.39,-96.79,55.1,-75.98,0,0.9,0.81,5.855,20220919_095723.411,PHASE_0,4.856,-1.749,-152.38
22.9,182.55,91.1,111.95,192.15,248.65,20.39,-96.79,55.1,-75.98,0,0.9,0.81,5.855,20220919_095723.518,PHASE_0,4.856,-1.749,-152.38
24.2,209.6,84.6,95.05,180.7,267.4,20.39,-96.79,55.1,-75.98,0,0.9,0.81,5.855,20220919_095723.627,PHASE_0,4.856,-1.749,-152.38
24.2,209.6,84.6,95.05,180.7,267.4,20.39,-96.79,55.1,-75.98,0,0.9,0.81,5.855,20220919_095723.736,PHASE_0,4.856,-1.749,-152.38
24.2,209.6,84.6,95.05,180.7,267.4,20.39,-96.79,55.1,-75.98,0,0.9,0.81,5.855,20220919_095723.846,PHASE_0,4.856,-1.749,-152.38
24.2,209.6,84.6,95.05,180.7,267.4,20.39,-96.79,55.1,-75.98,0,0.9,0.81,5.855,20220919_095723.959,PHASE_0,4.856,-1.749,-152.38
24.2,209.6,84.6,95.05,180.7,267.4,20.39,-96.79,55.1,-75.98,0,0.9,0.81,5.855,20220919_095724.068,PHASE_0,4.856,-1.749,-152.38
24.2,209.6,84.6,95.05,180.7,267.4,20.39,-96.79,55.1,-75.98,0,0.9,0.81,5.855,20220919_095724.177,PHASE_0,4.856,-1.749,-152.38
23.65,227.6,99.7,64.8,168.75,246.85,21.2,-97.8,49.6,-84.05,0,0.98,0.9,5.839,20220919_095724.283,PHASE_0,4.703,-1.414,-160.65
22.9,221.05,97.65,73.15,168.45,216.1,22.15,-99.25,49.9,-83.6,0,1.01,1,5.981,20220919_095724.394,PHASE_0,4.638,-1.322,-160.7
23.15,227.3,86.7,59.6,189.55,225.75,24.95,-97.65,39.5,-100.06,0,1,0.95,6.496,20220919_095724.615,PHASE_0,4.654,-0.585,-172.76
23.15,227.3,89.8,56.25,192.95,225,24.95,-97.65,39.5,-100.06,0,1,0.95,6.496,20220919_095724.722,PHASE_0,4.654,-0.585,-172.76
