Boom_Head_C_P,Arm_Rod_C_P,Arm_Head_C_P,Bkt_Rod_C_P,Bkt_Head_C_P,Boom_Rod_C_P,Boom_theta,Arm_theta,Bkt_theta,Jbkt ,Cabin_Slope_Yaw,Cabin_Slope_Pitch,Cabin_Slope_Roll,Dist,ImgName,Phase,distance,depth,bktAOA
21.6,260.4,64.8,266.4,146.05,170.8,21.41,-48.51,107.7,-8.77,0,1.12,-0.04,5.744,20220919_095449.067,PHASE_0,10.137,-0.276,-35.87
21.6,260.4,64.8,266.4,146.05,170.8,21.41,-48.51,107.7,-8.77,0,1.12,-0.04,5.744,20220919_095449.102,PHASE_0,10.137,-0.276,-35.87
20.55,222.9,58.3,189.55,103.35,169,18.3,-54.8,109.4,-6.72,0,1.14,-0.21,5.173,20220919_095449.188,PHASE_0,9.825,-1.219,-43.22
22.9,163.25,72.9,77.6,77.3,144,13.97,-61.27,107.8,-8.65,0,1.19,0.09,4.648,20220919_095449.295,PHASE_0,9.238,-2.385,-55.95
27.05,71.35,94.25,58.05,111.45,114.8,13.92,-65.72,91.5,-28.44,0,1.18,0.09,4.591,20220919_095449.403,PHASE_0,8.298,-2.852,-80.24
26,69.5,90.6,34.35,97.35,127.3,15.03,-67.63,92,-27.83,0,1.18,0.07,4.631,20220919_095449.515,PHASE_0,8.228,-2.763,-80.43
25.75,74.7,94,32.25,98.15,5.95,15.86,-67.26,91.9,-27.95,0,1.18,0.08,4.631,20220919_095449.732,PHASE_0,8.291,-2.63,-79.35
26,72.1,93.75,31.5,98.4,131.25,15.86,-67.26,91.9,-27.95,0,1.18,0.08,4.666,20220919_095449.839,PHASE_0,8.291,-2.63,-79.35
27.05,71.05,97.65,31.5,99.45,128.35,16.74,-70.54,91.6,-28.32,0,1.17,0.01,4.666,20220919_095449.948,PHASE_0,8.068,-2.632,-82.12
26.8,70.55,97.9,30.45,103.1,125,16.74,-70.54,91.6,-28.32,0,1.17,0.01,4.657,20220919_095450.060,PHASE_0,8.068,-2.632,-82.12
27.05,67.95,99.7,32.8,104.9,123.15,17.52,-70.92,88.9,-31.64,0,1.19,0.09,4.657,20220919_095450.172,PHASE_0,7.963,-2.549,-85.04
27.05,67.95,99.7,32.8,104.9,123.15,17.52,-70.92,88.9,-31.64,0,1.19,0.09,4.657,20220919_095450.282,PHASE_0,7.963,-2.549,-85.04
27.6,57.8,105.7,37.2,112.75,120.55,18.24,-73.54,87.7,-33.13,0,1.18,0.02,4.637,20220919_095450.389,PHASE_0,7.74,-2.541,-88.43
26.8,55.95,116.4,49.7,132.8,121.35,18.8,-74.7,86,-35.24,0,1.15,-0.04,4.799,20220919_095450.504,PHASE_0,7.603,-2.502,-91.14
27.05,57.8,121.35,59.1,141.1,124.7,18.8,-74.7,86,-35.24,0,1.15,-0.04,4.85,20220919_095450.607,PHASE_0,7.603,-2.502,-91.14
35.15,61.95,126,100.75,164.55,128.9,19.19,-76.69,85.1,-36.36,0,1.14,-0.17,4.85,20220919_095450.716,PHASE_0,7.425,-2.506,-93.86
39.55,72.1,131.25,107.8,172.35,125,19.19,-76.69,85.1,-36.36,0,1.14,-0.17,4.85,20220919_095450.833,PHASE_0,7.425,-2.506,-93.86
42.15,65.85,134.35,107.25,172.35,124.7,19.48,-78.08,82.6,-39.48,0,1.15,-0.14,4.85,20220919_095450.940,PHASE_0,7.222,-2.493,-98.08
33.05,61.95,144.5,101,180.45,127.85,19.48,-78.08,82.6,-39.48,0,1.15,-0.14,4.815,20220919_095451.045,PHASE_0,7.222,-2.493,-98.08
34.1,48.95,169,119,228.6,134.35,19.93,-82.73,82.1,-40.11,0,1.15,-0.14,4.473,20220919_095451.374,PHASE_0,6.846,-2.529,-102.91
36.7,48.95,173.15,120.8,231.25,10.15,20.28,-84.78,82.6,-39.48,0,1.17,-0.09,4.625,20220919_095451.484,PHASE_0,6.715,-2.525,-103.98
44.5,47.9,196.6,126.3,242.4,128.1,20.59,-88.09,82,-40.24,0,1.17,-0.03,4.625,20220919_095451.594,PHASE_0,6.433,-2.525,-107.74
51.3,49.45,220.3,118.45,257,123.4,20.59,-88.09,82,-40.24,0,1.17,-0.03,4.625,20220919_095451.705,PHASE_0,6.433,-2.525,-107.74
48.65,45.05,228.1,114.05,260.15,125.25,20.7,-89,81.4,-40.99,0,1.15,-0.06,4.315,20220919_095451.810,PHASE_0,6.339,-2.514,-109.29
45.55,42.95,242.95,110.65,267.95,127.3,20.7,-89,81.4,-40.99,0,1.15,-0.06,4.315,20220919_095451.919,PHASE_0,6.339,-2.514,-109.29
45.55,40.6,261.15,104.4,278.1,127.3,20.75,-90.55,79.9,-42.88,0,1.17,-0.06,4.297,20220919_095452.027,PHASE_0,6.154,-2.497,-112.68
53.6,39.55,277.3,99.2,286.95,120.8,20.75,-90.55,79.9,-42.88,0,1.17,-0.06,4.297,20220919_095452.143,PHASE_0,6.154,-2.497,-112.68
53.6,39.55,277.3,99.2,286.95,120.8,20.75,-90.55,79.9,-42.88,0,1.17,-0.06,4.297,20220919_095452.252,PHASE_0,6.154,-2.497,-112.68
63.25,31.25,290.85,95.3,293.75,116.9,20.79,-91.89,81.9,-40.36,0,1.17,0,6.022,20220919_095452.361,PHASE_0,6.124,-2.532,-111.46
63.25,31.25,290.85,95.3,293.75,116.9,20.79,-91.89,81.9,-40.36,0,1.17,0,6.022,20220919_095452.469,PHASE_0,6.124,-2.532,-111.46
63.25,31.25,290.85,95.3,293.75,116.9,20.79,-91.89,81.9,-40.36,0,1.17,0,6.022,20220919_095452.578,PHASE_0,6.124,-2.532,-111.46
58.55,31.25,296.35,93.45,297.9,119,20.81,-94.21,83,-38.98,0,1.15,-0.02,6.032,20220919_095452.689,PHASE_0,5.975,-2.556,-112.38
35.9,29.9,308.3,22.65,285.4,137.5,20.84,-96.24,83.2,-38.73,0,1.17,-0.03,6.024,20220919_095453.013,PHASE_0,5.815,-2.559,-114.13
45.8,31.25,305.2,31.25,291.4,8.55,20.84,-96.44,81.2,-41.24,0,1.17,-0.04,6.024,20220919_095453.127,PHASE_0,5.722,-2.522,-116.84
51.8,31.25,306.25,32.25,291.9,129.4,20.91,-96.51,81.2,-41.24,0,1.17,-0.04,6.037,20220919_095453.235,PHASE_0,5.719,-2.515,-116.84
53.9,32.25,303.9,34.6,289.55,129.15,20.98,-98.38,80.9,-41.62,0,1.17,0.01,6.037,20220919_095453.348,PHASE_0,5.557,-2.497,-119.02
52.6,30.95,297.1,32.8,286.7,129.9,20.99,-96.89,79.2,-43.77,0,1.14,-0.02,6.078,20220919_095453.563,PHASE_0,5.616,-2.466,-119.67
47.1,31.25,297.35,33.85,280.7,133.3,20.99,-96.89,79.2,-43.77,0,1.14,-0.02,6.073,20220919_095453.670,PHASE_0,5.616,-2.466,-119.67
29.65,31.25,291.1,16.9,272.35,148.4,20.99,-97.09,77.6,-45.8,0,1.14,-0.03,6.073,20220919_095453.782,PHASE_0,5.541,-2.43,-121.9
26.8,32.25,289.55,12.2,272.1,165.35,20.99,-97.09,77.6,-45.8,0,1.14,-0.03,6.092,20220919_095453.892,PHASE_0,5.541,-2.43,-121.9
33.85,42.15,224.7,24.2,222.9,163.25,21.24,-97.54,76.3,-47.46,0,1.14,0,6.092,20220919_095454.004,PHASE_0,5.468,-2.373,-123.76
33.85,42.15,224.7,24.2,222.9,163.25,21.24,-97.54,76.3,-47.46,0,1.14,0,6.092,20220919_095454.109,PHASE_0,5.468,-2.373,-123.76
36.95,39.55,197.35,39.8,203.35,152.6,21.66,-99.26,74.1,-50.29,0,1.15,0.02,6.329,20220919_095454.217,PHASE_0,5.27,-2.265,-127.89
47.65,36.15,202.85,49.45,215.85,145.55,22.05,-101.55,75,-49.13,0,1.15,0.04,6.329,20220919_095454.328,PHASE_0,5.133,-2.231,-128.63
23.95,122.35,152.05,99.7,214.05,198.15,21.29,-99.79,64.6,-62.8,0,1.17,-0.06,6.347,20220919_095455.205,PHASE_0,4.915,-1.995,-141.3
23.15,139.55,127.3,97.9,191.4,214.05,21.29,-99.79,64.6,-62.8,0,1.17,-0.06,6.347,20220919_095455.317,PHASE_0,4.915,-1.995,-141.3
30.45,148.4,105.95,101.55,178.9,228.6,20.98,-98.88,64.3,-63.21,0,1.17,0.01,6.195,20220919_095455.531,PHASE_0,4.963,-2.025,-141.11
23.95,153.35,88.25,103.35,173.15,239.8,20.98,-98.88,64.3,-63.21,0,1.17,0.01,6.195,20220919_095455.647,PHASE_0,4.963,-2.025,-141.11
24.2,155.45,72.9,105.7,169.5,245.3,20.79,-99.29,60.5,-68.39,0,1.15,0.08,6.043,20220919_095455.752,PHASE_0,4.824,-1.893,-146.89
23.4,148.95,66.4,125.75,168.75,229.15,20.83,-100.03,58.3,-71.45,0,1.17,0.08,6.034,20220919_095455.859,PHASE_0,4.719,-1.788,-150.65
22.65,136.95,88.25,104.4,191.1,206.75,20.99,-98.69,57.1,-73.14,0,1.19,0.11,6.034,20220919_095456.078,PHASE_0,4.789,-1.75,-150.84
22.9,149.45,89.55,113.8,197.1,210.65,20.99,-98.69,57.1,-73.14,0,1.19,0.11,6.034,20220919_095456.187,PHASE_0,4.789,-1.75,-150.84
23.15,170.05,74.45,146.6,197.9,214.05,21.08,-98.18,52.4,-79.9,0,1.19,0.11,6.135,20220919_095456.293,PHASE_0,4.726,-1.547,-157
23.65,202.85,63,197.35,221.85,235.15,21.1,-100.2,43.6,-93.33,0,1.19,0.07,6.19,20220919_095456.407,PHASE_0,4.482,-1.066,-172.43
22.35,199.7,69.75,220.3,256.25,137.5,21.36,-98.96,43.1,-94.13,0,1.19,0,6.173,20220919_095456.626,PHASE_0,4.555,-1.047,-171.73
26.3,196.6,77.05,146.6,210.4,212.5,22.26,-101.06,41.6,-96.57,0,1.18,0.09,6.418,20220919_095456.953,PHASE_0,4.441,-0.847,-175.37
29.9,192.4,78.9,130.95,200.25,208.05,23.8,-102.6,41.6,-96.57,0,1.18,0.09,6.748,20220919_095457.060,PHASE_0,4.376,-0.693,-175.37
25.25,189.55,78.9,121.35,199.2,207.8,25.46,-102.76,40.7,-98.05,0,1.18,0.09,6.748,20220919_095457.177,PHASE_0,4.38,-0.513,-175.35
24.45,193.2,86.95,114.55,201.8,210.15,27,-101,38,-102.61,0,1.17,0.05,6.748,20220919_095457.391,PHASE_0,4.477,-0.276,-176.61
23.95,221.35,83.05,115.85,201.8,216.9,28.32,-99.82,35.8,-106.46,0,1.17,0.08,7.048,20220919_095457.612,PHASE_0,4.537,-0.063,-177.96
23.4,233.55,86.95,113.5,209.6,223.4,28.32,-99.82,35.8,-106.46,0,1.17,0.08,7.15,P_20220919_095457.662,PHASE_0,4.537,-0.063,-177.96
