Boom_Head_C_P,Arm_Rod_C_P,Arm_Head_C_P,Bkt_Rod_C_P,Bkt_Head_C_P,Boom_Rod_C_P,Boom_theta,Arm_theta,Bkt_theta,Jbkt ,Cabin_Slope_Yaw,Cabin_Slope_Pitch,Cabin_Slope_Roll,Dist,ImgName,Phase,distance,depth,bktAOA
22.35,258.3,23.15,162.5,90.85,190.1,7.91,-40.11,96.2,-22.69,0,0.59,1.99,3.578,P_20220919_094130.206,PHASE_0,9.915,-2.383,-54.89
22.9,273.65,15.6,114.05,73.15,156.75,7.91,-40.11,96.2,-22.69,0,0.59,1.99,3.578,20220919_094131.787,PHASE_0,9.915,-2.383,-54.89
22.9,273.65,15.6,114.05,73.15,156.75,7.91,-40.11,96.2,-22.69,0,0.59,1.99,3.578,20220919_094131.827,PHASE_0,9.915,-2.383,-54.89
23.65,256.75,67.4,87.2,75.0,183.05,6.14,-38.84,89.7,-30.66,0,0.51,1.89,3.141,20220919_094131.905,PHASE_0,9.679,-2.743,-63.36
23.15,81.25,71.85,81.25,95.05,73.65,6.52,-38.32,77.8,-45.55,0,0.45,1.77,3.029,20220919_094132.013,PHASE_0,9.257,-2.819,-77.35
25.75,80.2,96.05,20.3,131.25,146.6,9.55,-47.95,68.2,-58.0,0,0.37,1.47,3.281,20220919_094132.121,PHASE_0,8.365,-2.821,-96.4
24.45,72.1,94.5,21.35,138.8,145.8,11.56,-50.46,63.5,-64.29,0,0.31,1.17,3.859,20220919_094132.233,PHASE_0,8.082,-2.588,-103.19
28.1,81.25,97.65,29.65,125.75,140.35,12.54,-52.44,63.2,-64.7,0,0.37,1.68,3.859,20220919_094132.338,PHASE_0,7.98,-2.515,-104.6
24.45,86.45,98.65,40.85,139.8,137.2,12.54,-52.44,63.2,-64.7,0,0.37,1.68,3.859,20220919_094132.451,PHASE_0,7.98,-2.515,-104.6
23.95,85.9,102.3,43.45,145.3,144.25,13.41,-55.61,63.5,-64.29,0,0.34,1.35,3.859,20220919_094132.562,PHASE_0,7.815,-2.5,-106.49
24.7,77.85,106.25,39.8,151.55,145.8,13.41,-55.61,63.5,-64.29,0,0.34,1.35,4.079,20220919_094132.668,PHASE_0,7.815,-2.5,-106.49
27.3,77.05,97.1,41.1,148.65,147.65,14.24,-57.34,61.8,-66.61,0,0.36,1.38,4.079,20220919_094132.780,PHASE_0,7.657,-2.414,-109.71
26.3,83.85,95.55,50.25,144.25,147.1,14.24,-57.34,61.8,-66.61,0,0.36,1.38,4.258,20220919_094132.890,PHASE_0,7.657,-2.414,-109.71
26.3,83.85,95.55,50.25,144.25,147.1,14.24,-57.34,61.8,-66.61,0,0.36,1.38,4.258,20220919_094133.002,PHASE_0,7.657,-2.414,-109.71
26.3,83.85,95.55,50.25,144.25,147.1,14.24,-57.34,61.8,-66.61,0,0.36,1.38,4.258,20220919_094133.115,PHASE_0,7.657,-2.414,-109.71
25.75,99.7,101.0,89.3,165.85,161.95,15.68,-62.68,61.8,-66.61,0,0.37,1.4,4.393,20220919_094133.221,PHASE_0,7.344,-2.364,-113.61
23.4,96.35,99.2,89.55,171.6,166.4,15.68,-63.88,61.0,-67.71,0,0.36,1.33,4.322,20220919_094133.325,PHASE_0,7.226,-2.375,-115.91
26.55,97.9,97.1,98.65,171.35,169.5,16.88,-66.98,60.6,-68.26,0,0.37,1.35,4.287,20220919_094133.435,PHASE_0,7.037,-2.28,-118.36
26.8,103.9,95.55,109.1,172.1,167.15,16.88,-66.98,60.6,-68.26,0,0.37,1.35,4.287,20220919_094133.546,PHASE_0,7.037,-2.28,-118.36
26.0,102.05,103.9,115.6,179.4,164.05,17.45,-70.45,61.1,-67.57,0,0.36,1.4,4.287,20220919_094133.655,PHASE_0,6.831,-2.282,-120.57
26.55,91.1,107.55,118.45,192.4,169.25,17.45,-70.45,61.1,-67.57,0,0.36,1.4,4.287,20220919_094133.761,PHASE_0,6.831,-2.282,-120.57
27.6,79.4,109.85,117.15,197.65,165.6,18.03,-72.63,60.9,-67.84,0,0.36,1.33,4.291,20220919_094133.879,PHASE_0,6.688,-2.24,-122.44
