Boom_Head_C_P,Arm_Rod_C_P,Arm_Head_C_P,Bkt_Rod_C_P,Bkt_Head_C_P,Boom_Rod_C_P,Boom_theta,Arm_theta,Bkt_theta,Jbkt ,Cabin_Slope_Yaw,Cabin_Slope_Pitch,Cabin_Slope_Roll,Dist,ImgName,Phase,distance,depth,bktAOA
22.9,189.55,28.35,290.35,169.0,166.4,17.68,-52.48,111.4,-4.31,0,0.76,0.71,4.927,P_20220919_094007.990,PHASE_0,9.991,-1.103,-39.11
22.1,196.6,30.45,255.45,147.9,161.45,17.68,-52.48,111.4,-4.31,0,0.76,0.71,4.927,20220919_094009.609,PHASE_0,9.991,-1.103,-39.11
22.1,196.6,30.45,255.45,147.9,161.45,17.68,-52.48,111.4,-4.31,0,0.76,0.71,4.927,20220919_094009.654,PHASE_0,9.991,-1.103,-39.11
20.3,247.9,22.35,180.45,91.1,204.9,11.33,-39.93,100.9,-16.98,0,0.93,1.41,3.532,20220919_094009.764,PHASE_0,10.193,-1.647,-45.58
23.65,234.1,53.6,59.1,45.05,179.65,7.77,-40.27,92.7,-26.97,0,0.83,1.22,2.967,20220919_094009.875,PHASE_0,9.779,-2.495,-59.47
23.15,92.15,75.25,45.3,102.05,140.35,9.22,-42.72,71.5,-53.66,0,0.85,1.34,3.061,20220919_094009.984,PHASE_0,8.839,-2.651,-87.16
23.65,102.85,81.25,36.95,102.3,142.15,10.98,-46.78,75.0,-49.13,0,0.85,1.38,3.47,20220919_094010.091,PHASE_0,8.809,-2.56,-84.93
23.4,106.25,85.65,35.65,103.6,144.0,10.98,-46.78,75.0,-49.13,0,0.85,1.38,3.47,20220919_094010.201,PHASE_0,8.809,-2.56,-84.93
24.7,101.8,89.8,30.95,109.1,137.5,11.89,-47.49,72.7,-52.1,0,0.79,1.22,3.656,20220919_094010.311,PHASE_0,8.703,-2.46,-87.7
25.5,94.5,96.6,28.1,115.35,140.35,11.89,-47.49,72.7,-52.1,0,0.79,1.22,3.656,20220919_094010.422,PHASE_0,8.703,-2.46,-87.7
29.9,88.5,94.25,27.3,118.2,140.85,12.74,-50.74,71.5,-53.66,0,0.76,1.04,3.656,20220919_094010.532,PHASE_0,8.471,-2.475,-91.66
24.7,88.25,94.25,26.55,118.75,144.75,13.57,-52.87,69.8,-55.89,0,0.76,1.1,3.89,20220919_094010.641,PHASE_0,8.288,-2.435,-95.19
24.45,86.45,93.45,28.6,119.0,148.15,13.57,-52.87,69.8,-55.89,0,0.76,1.1,3.89,20220919_094010.750,PHASE_0,8.288,-2.435,-95.19
25.5,90.6,92.15,29.4,120.05,27.85,14.37,-54.97,68.9,-57.07,0,0.72,0.89,4.026,20220919_094010.864,PHASE_0,8.138,-2.395,-97.67
24.2,91.4,93.75,27.3,122.65,152.85,14.37,-54.97,68.9,-57.07,0,0.72,0.89,4.026,20220919_094010.967,PHASE_0,8.138,-2.395,-97.67
23.65,85.15,97.9,23.4,131.5,157.0,15.1,-57.1,67.9,-58.39,0,0.75,0.94,4.177,20220919_094011.079,PHASE_0,7.977,-2.361,-100.39
23.65,77.6,97.9,22.9,138.25,159.35,15.1,-57.1,67.9,-58.39,0,0.75,0.94,4.177,20220919_094011.186,PHASE_0,7.977,-2.361,-100.39
24.7,75.25,98.15,19.5,143.45,161.45,15.83,-59.23,66.5,-60.26,0,0.76,0.97,4.389,20220919_094011.297,PHASE_0,7.796,-2.318,-103.66
23.65,58.05,102.3,15.85,152.85,162.5,16.6,-62.0,65.6,-61.46,0,0.76,1.01,4.318,20220919_094011.407,PHASE_0,7.593,-2.286,-106.86
24.7,65.1,97.65,24.7,139.55,154.15,16.6,-63.5,64.9,-62.4,0,0.76,1.01,4.318,20220919_094011.515,PHASE_0,7.456,-2.317,-109.3
23.65,77.05,96.6,27.3,132.0,146.85,17.48,-64.38,64.9,-62.4,0,0.76,1.01,4.318,20220919_094011.621,PHASE_0,7.428,-2.226,-109.3
24.2,82.0,92.95,28.9,127.6,142.95,18.29,-67.19,63.7,-64.02,0,0.76,1.07,4.318,20220919_094011.733,PHASE_0,7.206,-2.171,-112.92
25.25,101.8,89.55,39.55,119.25,146.05,18.29,-67.19,63.7,-64.02,0,0.76,1.07,4.34,20220919_094011.839,PHASE_0,7.206,-2.171,-112.92
23.4,108.55,96.35,44.5,126.8,154.65,18.74,-68.64,63.1,-64.83,0,0.75,1.03,4.34,20220919_094011.952,PHASE_0,7.093,-2.135,-114.73
22.9,81.25,105.45,44.0,158.85,174.45,18.74,-68.64,63.1,-64.83,0,0.75,1.03,4.302,20220919_094012.060,PHASE_0,7.093,-2.135,-114.73
23.95,79.4,100.25,47.65,160.4,176.3,19.03,-68.53,59.8,-69.36,0,0.73,0.97,4.302,20220919_094012.167,PHASE_0,6.975,-2.028,-118.86
23.4,82.8,99.45,58.05,165.1,176.3,19.03,-68.53,59.8,-69.36,0,0.73,0.97,4.25,20220919_094012.286,PHASE_0,6.975,-2.028,-118.86
22.9,82.55,107.8,67.4,172.65,173.4,19.28,-70.78,58.2,-71.59,0,0.76,1.06,4.25,20220919_094012.391,PHASE_0,6.76,-1.998,-123.09
22.9,82.55,107.8,67.4,172.65,173.4,19.28,-70.78,58.2,-71.59,0,0.76,1.06,4.25,20220919_094012.502,PHASE_0,6.76,-1.998,-123.09
23.15,79.65,102.85,77.05,183.55,50.75,19.52,-75.72,58.7,-70.89,0,0.76,1.07,4.254,20220919_094012.609,PHASE_0,6.435,-2.046,-127.09
24.45,78.9,100.5,77.05,186.15,176.8,19.52,-75.72,58.7,-70.89,0,0.76,1.07,4.319,20220919_094012.718,PHASE_0,6.435,-2.046,-127.09
23.4,77.85,101.8,71.35,189.3,178.35,19.63,-76.83,55.7,-75.13,0,0.73,1.01,4.319,20220919_094012.827,PHASE_0,6.25,-1.952,-132.33
23.95,56.5,123.15,49.45,210.9,150.75,19.74,-78.94,53.9,-77.71,0,0.78,1.1,4.319,20220919_094012.933,PHASE_0,6.043,-1.889,-136.91
23.15,56.75,123.15,52.85,209.6,132.25,19.74,-78.94,53.9,-77.71,0,0.78,1.1,4.326,20220919_094013.054,PHASE_0,6.043,-1.889,-136.91
23.15,56.75,123.15,52.85,209.6,132.25,19.74,-78.94,53.9,-77.71,0,0.78,1.1,4.326,20220919_094013.157,PHASE_0,6.043,-1.889,-136.91
23.95,57.0,131.75,46.6,214.05,97.1,19.99,-81.59,52.3,-80.04,0,0.79,1.18,4.273,20220919_094013.266,PHASE_0,5.817,-1.807,-141.64
22.65,98.65,111.7,55.45,213.25,89.3,20.3,-85.3,51.2,-81.66,0,0.76,1.11,4.273,20220919_094013.375,PHASE_0,5.541,-1.721,-146.66
24.2,94.0,104.65,97.9,208.85,108.05,20.3,-86.6,48.6,-85.55,0,0.73,1.08,5.695,20220919_094013.486,PHASE_0,5.387,-1.599,-151.85
23.15,89.05,118.2,92.4,247.35,116.9,20.21,-86.51,48.6,-85.55,0,0.73,1.08,5.695,20220919_094013.593,PHASE_0,5.39,-1.608,-151.85
22.65,106.25,95.05,97.9,238.25,178.9,20.22,-83.42,50.2,-83.15,0,0.75,0.96,5.672,20220919_094013.701,PHASE_0,5.638,-1.695,-146.35
22.9,165.85,23.65,184.6,205.95,216.65,20.24,-83.54,42.9,-94.46,0,0.75,0.92,5.672,20220919_094013.811,PHASE_0,5.452,-1.355,-157.76
26.0,152.05,44.25,206.25,228.35,232.25,20.24,-83.54,42.9,-94.46,0,0.75,0.92,5.672,20220919_094013.921,PHASE_0,5.452,-1.355,-157.76
22.9,150.75,41.4,214.3,239.55,241.1,20.42,-93.52,39.0,-100.9,0,0.72,0.9,5.672,20220919_094014.029,PHASE_0,4.818,-1.004,-174.0
24.7,151.8,42.4,199.7,248.4,244.5,20.42,-93.52,39.0,-100.9,0,0.72,0.9,5.672,20220919_094014.136,PHASE_0,4.818,-1.004,-174.0
23.15,148.65,45.05,181.25,241.4,113.5,21.11,-89.51,41.7,-96.4,0,0.73,0.88,5.715,20220919_094014.248,PHASE_0,5.089,-1.155,-164.8
24.2,139.8,51.3,173.65,230.95,217.7,21.11,-89.51,41.7,-96.4,0,0.73,0.88,5.715,20220919_094014.358,PHASE_0,5.089,-1.155,-164.8
