Boom_Head_C_P,Arm_Rod_C_P,Arm_Head_C_P,Bkt_Rod_C_P,Bkt_Head_C_P,Boom_Rod_C_P,Boom_theta,Arm_theta,Bkt_theta,Jbkt ,Cabin_Slope_Yaw,Cabin_Slope_Pitch,Cabin_Slope_Roll,Dist,ImgName,Phase,distance,depth,bktAOA
22.1,166.65,26.0,153.9,88.8,161.15,17.52,-50.32,114.0,-1.18,0,1.01,0.42,5.34,P_20220919_095702.610,PHASE_0,10.16,-0.891,-33.98
21.6,160.4,22.65,156.5,85.65,165.35,16.51,-48.71,113.7,-1.54,0,1.0,0.39,5.34,20220919_095704.223,PHASE_0,10.214,-0.962,-33.74
21.6,160.4,22.65,156.5,85.65,165.35,16.51,-48.71,113.7,-1.54,0,1.0,0.39,5.34,20220919_095704.275,PHASE_0,10.214,-0.962,-33.74
21.6,155.95,19.5,159.1,89.55,159.1,15.2,-47.1,112.1,-3.47,0,0.98,0.4,5.04,20220919_095704.378,PHASE_0,10.23,-1.13,-35.37
21.6,153.6,11.95,144.25,77.05,192.15,13.53,-46.63,110.6,-5.27,0,0.98,0.51,4.395,20220919_095704.486,PHASE_0,10.179,-1.442,-38.37
22.65,189.55,15.85,109.1,58.3,192.95,10.92,-48.22,109.5,-6.6,0,1.05,0.74,4.088,20220919_095704.598,PHASE_0,9.985,-2.046,-43.9
22.65,160.65,54.9,78.35,67.95,180.7,10.31,-50.71,108.2,-8.16,0,1.11,1.0,3.929,20220919_095704.707,PHASE_0,9.778,-2.351,-48.56
23.95,101.3,69.0,112.2,122.65,144.0,10.88,-51.78,97.2,-21.47,0,1.15,1.14,3.898,20220919_095704.814,PHASE_0,9.366,-2.575,-62.37
25.5,99.7,66.4,128.9,124.7,149.2,11.8,-55.5,86.5,-34.62,0,1.14,1.07,4.022,20220919_095704.921,PHASE_0,8.739,-2.77,-78.32
24.7,122.9,80.45,110.9,114.55,130.45,14.09,-57.29,87.0,-34.0,0,1.0,0.69,4.43,20220919_095705.033,PHASE_0,8.738,-2.499,-77.2
22.9,123.4,86.7,77.05,107.0,131.5,15.12,-59.42,84.3,-37.36,0,0.98,0.65,4.43,20220919_095705.145,PHASE_0,8.521,-2.462,-81.66
22.9,123.4,86.7,77.05,107.0,131.5,15.12,-59.42,84.3,-37.36,0,0.98,0.65,4.43,20220919_095705.252,PHASE_0,8.521,-2.462,-81.66
22.9,123.4,86.7,77.05,107.0,131.5,15.12,-59.42,84.3,-37.36,0,0.98,0.65,4.43,20220919_095705.363,PHASE_0,8.521,-2.462,-81.66
22.9,123.4,86.7,77.05,107.0,131.5,15.12,-59.42,84.3,-37.36,0,0.98,0.65,4.43,20220919_095705.473,PHASE_0,8.521,-2.462,-81.66
22.9,123.4,86.7,77.05,107.0,131.5,15.12,-59.42,84.3,-37.36,0,0.98,0.65,4.43,20220919_095705.582,PHASE_0,8.521,-2.462,-81.66
22.9,123.4,86.7,77.05,107.0,131.5,15.12,-59.42,84.3,-37.36,0,0.98,0.65,4.43,20220919_095705.692,PHASE_0,8.521,-2.462,-81.66
24.2,118.45,93.2,64.55,103.35,140.35,16.45,-61.65,80.4,-42.25,0,1.0,0.68,4.775,20220919_095705.799,PHASE_0,8.252,-2.376,-87.45
24.7,110.15,93.75,64.55,112.2,146.35,16.96,-64.36,79.6,-43.26,0,1.03,0.67,4.881,20220919_095705.910,PHASE_0,8.042,-2.407,-90.66
25.25,98.15,93.75,64.55,120.05,153.6,17.44,-67.74,77.8,-45.55,0,1.03,0.69,4.857,20220919_095706.017,PHASE_0,7.733,-2.451,-95.85
25.25,98.15,93.75,64.55,120.05,153.6,17.44,-67.74,77.8,-45.55,0,1.03,0.69,4.857,20220919_095706.126,PHASE_0,7.733,-2.451,-95.85
25.25,98.15,93.75,64.55,120.05,153.6,17.44,-67.74,77.8,-45.55,0,1.03,0.69,4.857,20220919_095706.236,PHASE_0,7.733,-2.451,-95.85
25.5,90.85,96.35,66.1,129.9,157.25,17.91,-70.31,76.2,-47.59,0,1.03,0.68,4.827,20220919_095706.346,PHASE_0,7.49,-2.454,-99.99
