Boom_Head_C_P,Arm_Rod_C_P,Arm_Head_C_P,Bkt_Rod_C_P,Bkt_Head_C_P,Boom_Rod_C_P,Boom_theta,Arm_theta,Bkt_theta,Jbkt ,Cabin_Slope_Yaw,Cabin_Slope_Pitch,Cabin_Slope_Roll,Dist,ImgName,Phase,distance,depth,bktAOA
22.9,229.9,24.7,257.0,142.4,183.85,11.23,-44.83,108.1,-8.28,0,1.21,-0.02,5.3,P_20220919_093752.088,PHASE_0,10.142,-1.8,-41.88
22.35,240.35,23.4,258.85,139.55,185.65,9.35,-42.45,105.4,-11.54,0,1.15,-0.23,5.3,20220919_093753.729,PHASE_0,10.129,-2.046,-44.64
23.15,313.0,19.75,245.05,138.8,160.15,7.72,-40.22,102.1,-15.53,0,1.11,-0.37,3.308,20220919_093753.813,PHASE_0,10.09,-2.273,-48.03
23.65,314.55,40.35,114.05,123.95,91.9,5.58,-37.48,94.8,-24.4,0,1.12,-0.42,3.261,20220919_093753.923,PHASE_0,9.914,-2.647,-56.3
24.2,57.0,77.6,23.4,90.35,120.3,6.5,-38.8,87.3,-33.62,0,1.11,-0.6,3.27,20220919_093754.025,PHASE_0,9.608,-2.723,-65.92
24.2,110.9,77.6,39.55,82.8,130.7,8.52,-42.12,84.8,-36.73,0,1.18,-0.44,3.427,20220919_093754.138,PHASE_0,9.403,-2.62,-70.33
24.2,110.4,72.9,43.45,79.4,129.65,10.41,-46.81,81.7,-40.61,0,1.18,-0.28,3.882,20220919_093754.250,PHASE_0,9.066,-2.605,-77.01
24.45,109.6,74.2,46.35,77.3,130.95,10.41,-46.81,81.7,-40.61,0,1.18,-0.28,3.882,20220919_093754.357,PHASE_0,9.066,-2.605,-77.01
24.2,110.65,72.1,46.05,77.05,129.15,11.31,-49.61,80.6,-42.0,0,1.18,-0.31,4.122,20220919_093754.466,PHASE_0,8.876,-2.613,-80.3
23.15,113.25,73.4,53.9,82.55,133.3,11.31,-49.61,80.6,-42.0,0,1.18,-0.31,4.122,20220919_093754.577,PHASE_0,8.876,-2.613,-80.3
25.75,119.0,77.6,72.65,97.9,138.8,12.08,-51.98,78.7,-44.41,0,1.19,-0.27,4.27,20220919_093754.686,PHASE_0,8.67,-2.617,-84.31
23.4,121.05,84.1,91.4,116.9,146.6,12.08,-53.68,76.4,-47.34,0,1.15,-0.39,4.27,20220919_093754.796,PHASE_0,8.453,-2.696,-88.94
23.65,125.5,89.05,103.6,134.1,154.15,12.72,-54.32,76.4,-47.34,0,1.15,-0.39,4.371,20220919_093754.906,PHASE_0,8.439,-2.628,-88.94
23.65,125.5,89.05,103.6,134.1,154.15,12.72,-54.32,76.4,-47.34,0,1.15,-0.39,4.371,20220919_093755.023,PHASE_0,8.439,-2.628,-88.94
23.65,125.5,89.05,103.6,134.1,154.15,12.72,-54.32,76.4,-47.34,0,1.15,-0.39,4.371,20220919_093755.127,PHASE_0,8.439,-2.628,-88.94
23.65,125.5,89.05,103.6,134.1,154.15,12.72,-54.32,76.4,-47.34,0,1.15,-0.39,4.371,20220919_093755.234,PHASE_0,8.439,-2.628,-88.94
23.65,106.25,92.15,102.6,141.1,152.85,13.43,-56.63,74.5,-49.78,0,1.16,-0.42,4.486,20220919_093755.345,PHASE_0,8.226,-2.614,-92.98
23.4,127.6,88.5,121.05,138.25,153.6,15.16,-63.56,74.9,-49.26,0,1.16,-0.41,4.654,20220919_093755.456,PHASE_0,7.82,-2.614,-97.66
23.4,129.15,90.1,122.9,140.85,157.8,15.93,-64.13,73.4,-51.2,0,1.18,-0.39,4.654,20220919_093755.563,PHASE_0,7.748,-2.518,-99.4
23.65,127.05,94.25,128.9,144.5,153.35,15.93,-64.13,73.4,-51.2,0,1.18,-0.39,4.608,20220919_093755.673,PHASE_0,7.748,-2.518,-99.4
24.45,126.3,94.25,132.25,150.5,30.2,16.68,-67.28,72.8,-51.97,0,1.19,-0.34,4.608,20220919_093755.784,PHASE_0,7.521,-2.504,-102.57
25.25,123.65,99.2,135.15,153.6,151.3,16.68,-67.28,72.8,-51.97,0,1.19,-0.34,4.63,20220919_093755.891,PHASE_0,7.521,-2.504,-102.57
