Boom_Head_C_P,Arm_Rod_C_P,Arm_Head_C_P,Bkt_Rod_C_P,Bkt_Head_C_P,Boom_Rod_C_P,Boom_theta,Arm_theta,Bkt_theta,Jbkt ,Cabin_Slope_Yaw,Cabin_Slope_Pitch,Cabin_Slope_Roll,Dist,ImgName,Phase,distance,depth,bktAOA
22.35,194.75,35.65,161.15,92.95,162.2,17.85,-56.45,113.7,-1.54,0,1.3,0.1,4.941,P_20220919_093807.004,PHASE_0,9.84,-1.278,-40.14
22.35,195.3,34.85,161.95,95.05,163.25,16.33,-54.03,109.0,-7.2,0,1.23,-0.1,4.941,20220919_093808.696,PHASE_0,9.81,-1.516,-44.9
24.2,240.35,23.65,252.3,128.6,220.55,12.95,-49.95,101.4,-16.37,0,1.15,-0.34,4.7,20220919_093808.796,PHASE_0,9.71,-2.028,-53.37
22.9,199.2,38.5,161.7,97.9,175.75,10.78,-49.08,95.4,-23.67,0,1.16,-0.39,4.368,20220919_093808.904,PHASE_0,9.47,-2.47,-61.97
21.6,77.6,96.05,106.25,143.45,103.35,9.88,-48.08,93.3,-26.23,0,1.04,-0.77,4.274,20220919_093809.016,PHASE_0,9.417,-2.6,-64.43
22.65,47.1,127.05,48.4,142.95,70.05,10.16,-49.66,87.1,-33.87,0,1.04,-0.87,4.214,20220919_093809.128,PHASE_0,9.086,-2.733,-73.37
23.95,46.6,118.2,47.9,132.0,71.05,10.72,-50.82,89.2,-31.27,0,1.05,-0.77,4.282,20220919_093809.233,PHASE_0,9.118,-2.678,-71.37
23.95,48.15,119.0,39.55,131.25,83.05,10.72,-50.82,89.2,-31.27,0,1.05,-0.77,4.282,20220919_093809.341,PHASE_0,9.118,-2.678,-71.37
25.0,46.85,123.4,36.95,135.15,0.0,11.18,-51.88,88.6,-32.01,0,1.08,-0.78,4.358,20220919_093809.448,PHASE_0,9.045,-2.668,-72.71
24.45,47.1,127.85,32.25,144.0,98.65,11.18,-51.88,88.6,-32.01,0,1.08,-0.78,4.358,20220919_093809.562,PHASE_0,9.045,-2.668,-72.71
24.45,49.2,132.0,24.7,147.9,107.0,11.73,-53.03,84.5,-37.11,0,1.16,-0.55,4.432,20220919_093809.667,PHASE_0,8.825,-2.682,-78.41
24.7,44.5,135.9,26.55,152.3,105.2,11.73,-53.03,84.5,-37.11,0,1.16,-0.55,4.432,20220919_093809.782,PHASE_0,8.825,-2.682,-78.41
24.7,44.5,135.9,26.55,152.3,105.2,11.73,-53.03,84.5,-37.11,0,1.16,-0.55,4.432,20220919_093809.890,PHASE_0,8.825,-2.682,-78.41
24.7,44.5,135.9,26.55,152.3,105.2,11.73,-53.03,84.5,-37.11,0,1.16,-0.55,4.432,20220919_093810.000,PHASE_0,8.825,-2.682,-78.41
24.7,44.5,135.9,26.55,152.3,105.2,11.73,-53.03,84.5,-37.11,0,1.16,-0.55,4.432,20220919_093810.109,PHASE_0,8.825,-2.682,-78.41
24.7,44.5,135.9,26.55,152.3,105.2,11.73,-53.03,84.5,-37.11,0,1.16,-0.55,4.432,20220919_093810.218,PHASE_0,8.825,-2.682,-78.41
30.45,43.75,141.9,26.8,156.75,108.05,12.37,-57.47,83.9,-37.86,0,1.16,-0.48,4.432,20220919_093810.329,PHASE_0,8.518,-2.789,-82.96
29.65,44.5,145.05,20.05,162.2,113.25,13.66,-59.36,82.5,-39.61,0,1.18,-0.48,4.605,20220919_093810.442,PHASE_0,8.384,-2.683,-85.31
28.35,46.6,136.15,22.1,153.1,112.75,14.34,-61.64,81.0,-41.5,0,1.18,-0.49,4.729,20220919_093810.548,PHASE_0,8.185,-2.677,-88.8
28.9,47.1,124.2,22.9,147.1,125.0,15.02,-63.42,80.3,-42.38,0,1.15,-0.53,4.782,20220919_093810.654,PHASE_0,8.056,-2.646,-90.78
22.9,47.35,131.75,19.0,153.1,137.5,15.56,-65.16,79.1,-43.9,0,1.15,-0.55,4.782,20220919_093810.768,PHASE_0,7.899,-2.629,-93.5
27.05,48.65,122.1,26.55,146.35,141.65,15.56,-65.16,79.1,-43.9,0,1.15,-0.55,4.835,20220919_093810.873,PHASE_0,7.899,-2.629,-93.5
28.1,50.25,112.75,28.1,141.9,134.6,16.2,-66.6,77.3,-46.19,0,1.16,-0.51,4.835,20220919_093810.989,PHASE_0,7.743,-2.58,-96.59
21.6,50.5,116.4,28.35,144.75,134.6,16.2,-66.6,77.3,-46.19,0,1.16,-0.51,4.835,20220919_093811.094,PHASE_0,7.743,-2.58,-96.59
25.75,51.8,117.4,31.25,144.5,13.0,16.8,-68.5,77.1,-46.44,0,1.16,-0.44,4.835,20220919_093811.206,PHASE_0,7.618,-2.555,-98.14
25.25,51.0,114.55,30.7,149.2,144.25,17.33,-71.23,77.0,-46.57,0,1.16,-0.41,4.76,20220919_093811.309,PHASE_0,7.428,-2.56,-100.47
25.25,51.3,120.55,32.0,152.3,151.8,17.33,-71.23,77.0,-46.57,0,1.16,-0.41,4.687,20220919_093811.423,PHASE_0,7.428,-2.56,-100.47
26.0,52.85,115.6,35.65,150.75,153.9,17.79,-71.89,74.2,-50.16,0,1.19,-0.34,4.687,20220919_093811.528,PHASE_0,7.279,-2.491,-104.26
25.75,53.1,114.3,40.35,150.75,153.6,17.79,-71.89,74.2,-50.16,0,1.19,-0.34,4.685,20220919_093811.638,PHASE_0,7.279,-2.491,-104.26
24.7,55.95,110.4,47.1,150.25,154.15,18.25,-74.05,73.6,-50.94,0,1.19,-0.34,4.685,20220919_093811.750,PHASE_0,7.107,-2.474,-106.74
24.7,55.95,110.4,47.1,150.25,154.15,18.25,-74.05,73.6,-50.94,0,1.19,-0.34,4.685,20220919_093811.861,PHASE_0,7.107,-2.474,-106.74
24.7,55.95,110.4,47.1,150.25,154.15,18.25,-74.05,73.6,-50.94,0,1.19,-0.34,4.685,20220919_093811.970,PHASE_0,7.107,-2.474,-106.74
24.7,55.95,110.4,47.1,150.25,154.15,18.25,-74.05,73.6,-50.94,0,1.19,-0.34,4.685,20220919_093812.080,PHASE_0,7.107,-2.474,-106.74
24.7,55.95,110.4,47.1,150.25,154.15,18.25,-74.05,73.6,-50.94,0,1.19,-0.34,4.685,20220919_093812.187,PHASE_0,7.107,-2.474,-106.74
20.3,57.8,109.6,56.5,151.55,155.45,18.25,-76.25,72.5,-52.36,0,1.18,-0.38,4.754,20220919_093812.297,PHASE_0,6.891,-2.501,-110.36
25.25,58.85,121.05,72.9,176.3,168.45,19.5,-80.9,69.5,-56.28,0,1.19,-0.41,4.612,20220919_093812.408,PHASE_0,6.463,-2.364,-117.68
25.25,58.85,121.05,72.9,176.3,168.45,19.5,-80.9,69.5,-56.28,0,1.19,-0.41,4.612,20220919_093812.514,PHASE_0,6.463,-2.364,-117.68
25.25,58.85,121.05,72.9,176.3,168.45,19.5,-80.9,69.5,-56.28,0,1.19,-0.41,4.612,20220919_093812.627,PHASE_0,6.463,-2.364,-117.68
25.5,59.1,120.05,81.25,172.9,163.8,19.97,-83.17,69.5,-56.28,0,1.18,-0.42,4.791,20220919_093812.738,PHASE_0,6.305,-2.333,-119.48
26.3,59.6,122.1,91.4,177.6,167.4,20.44,-86.04,68.7,-57.34,0,1.18,-0.42,4.322,20220919_093812.845,PHASE_0,6.07,-2.28,-122.94
26.3,59.6,122.1,91.4,177.6,167.4,20.44,-86.04,68.7,-57.34,0,1.18,-0.42,4.322,20220919_093812.953,PHASE_0,6.07,-2.28,-122.94
26.0,58.05,130.95,106.25,197.9,172.35,20.85,-87.85,67.1,-59.46,0,1.19,-0.41,4.322,20220919_093813.066,PHASE_0,5.887,-2.202,-126.46
26.0,58.05,130.95,106.25,197.9,172.35,20.85,-87.85,67.1,-59.46,0,1.19,-0.41,4.322,20220919_093813.176,PHASE_0,5.887,-2.202,-126.46
41.9,47.1,152.05,82.0,201.55,158.85,21.58,-92.18,66.4,-60.39,0,1.18,-0.42,6.252,20220919_093813.282,PHASE_0,5.557,-2.103,-130.99
38.5,48.4,147.1,69.25,189.55,161.7,21.58,-92.18,66.4,-60.39,0,1.18,-0.42,6.252,20220919_093813.396,PHASE_0,5.557,-2.103,-130.99
30.45,50.75,143.75,64.3,185.65,165.85,21.78,-94.88,66.3,-60.52,0,1.18,-0.41,6.318,20220919_093813.500,PHASE_0,5.354,-2.065,-133.62
22.9,48.15,146.6,66.1,196.35,170.3,21.78,-94.88,66.3,-60.52,0,1.18,-0.41,6.318,20220919_093813.609,PHASE_0,5.354,-2.065,-133.62
23.15,49.7,154.9,64.55,196.6,171.6,21.78,-94.58,65.8,-61.19,0,1.15,-0.46,6.318,20220919_093813.719,PHASE_0,5.361,-2.051,-133.99
24.45,78.1,137.2,70.8,189.05,172.1,21.78,-97.18,61.2,-67.43,0,1.16,-0.45,6.318,20220919_093813.830,PHASE_0,5.027,-1.867,-142.83
19.75,116.4,103.35,110.4,174.7,181.5,21.74,-97.14,61.2,-67.43,0,1.16,-0.45,6.289,20220919_093813.938,PHASE_0,5.029,-1.871,-142.83
22.9,117.4,107.0,130.45,197.9,194.25,21.56,-98.96,60.6,-68.26,0,1.18,-0.37,6.289,20220919_093814.047,PHASE_0,4.875,-1.837,-145.66
22.9,117.4,107.0,130.45,197.9,194.25,21.56,-98.96,60.6,-68.26,0,1.18,-0.37,6.289,20220919_093814.158,PHASE_0,4.875,-1.837,-145.66
23.15,160.65,72.65,142.7,174.7,214.3,21.39,-95.09,64.8,-62.53,0,1.19,-0.37,6.27,20220919_093814.265,PHASE_0,5.276,-2.051,-136.23
23.15,160.65,72.65,142.7,174.7,214.3,21.39,-95.09,64.8,-62.53,0,1.19,-0.37,6.27,20220919_093814.377,PHASE_0,5.276,-2.051,-136.23
23.4,163.8,82.8,161.95,188.0,204.15,21.38,-100.18,53.7,-78.0,0,1.16,-0.42,6.249,20220919_093814.485,PHASE_0,4.627,-1.542,-156.8
22.9,181.25,64.55,167.15,184.6,76.55,21.52,-101.12,54.0,-77.57,0,1.15,-0.44,6.249,20220919_093814.595,PHASE_0,4.574,-1.524,-157.17
28.1,181.25,62.2,172.65,186.15,207.55,21.52,-101.12,54.0,-77.57,0,1.15,-0.44,6.293,20220919_093814.702,PHASE_0,4.574,-1.524,-157.17
23.65,171.05,77.05,178.9,199.2,215.85,21.61,-102.51,46.7,-88.46,0,1.14,-0.52,6.293,20220919_093814.814,PHASE_0,4.382,-1.134,-169.36
23.95,177.05,79.9,190.35,214.55,223.15,21.61,-102.51,46.7,-88.46,0,1.14,-0.52,6.293,20220919_093814.925,PHASE_0,4.382,-1.134,-169.36
24.7,195.3,77.3,177.05,224.7,228.35,22.06,-102.16,49.3,-84.5,0,1.09,-0.67,6.293,20220919_093815.032,PHASE_0,4.443,-1.238,-164.6
24.7,195.3,77.3,177.05,224.7,228.35,22.06,-102.16,49.3,-84.5,0,1.09,-0.67,6.293,20220919_093815.169,PHASE_0,4.443,-1.238,-164.6
24.7,195.3,77.3,177.05,224.7,228.35,22.06,-102.16,49.3,-84.5,0,1.09,-0.67,6.293,20220919_093815.250,PHASE_0,4.443,-1.238,-164.6
