Boom_Head_C_P,Arm_Rod_C_P,Arm_Head_C_P,Bkt_Rod_C_P,Bkt_Head_C_P,Boom_Rod_C_P,Boom_theta,Arm_theta,Bkt_theta,Jbkt ,Cabin_Slope_Yaw,Cabin_Slope_Pitch,Cabin_Slope_Roll,Dist,ImgName,Phase,distance,depth,bktAOA
24.45,125.25,88.5,89.05,107.55,0.0,9.81,-50.31,89.8,-30.53,0,0.69,2.23,3.324,P_20220919_094050.111,PHASE_0,9.133,-2.788,-71.03
23.65,104.4,82.0,71.35,104.65,112.5,9.81,-50.31,89.8,-30.53,0,0.69,2.23,3.324,20220919_094052.052,PHASE_0,9.133,-2.788,-71.03
23.65,104.4,82.0,71.35,104.65,112.5,9.81,-50.31,89.8,-30.53,0,0.69,2.23,3.324,20220919_094052.094,PHASE_0,9.133,-2.788,-71.03
24.2,113.5,81.25,48.65,96.05,140.35,10.27,-49.37,84.6,-36.98,0,0.65,2.12,3.324,20220919_094052.202,PHASE_0,9.009,-2.729,-76.08
23.15,76.0,97.65,22.9,114.8,137.5,11.85,-51.95,77.9,-45.42,0,0.48,1.47,3.722,20220919_094052.313,PHASE_0,8.627,-2.653,-85.52
23.65,59.1,106.25,15.85,143.2,128.9,14.57,-58.07,74.2,-50.16,0,0.41,1.24,4.123,20220919_094052.422,PHASE_0,8.162,-2.505,-93.66
23.4,56.25,120.3,30.7,153.9,109.6,16.22,-61.12,71.8,-53.27,0,0.45,1.27,4.329,20220919_094052.530,PHASE_0,7.91,-2.37,-98.17
24.7,47.9,151.55,22.9,190.85,129.65,17.42,-65.72,70.9,-54.45,0,0.44,1.21,4.523,20220919_094052.641,PHASE_0,7.586,-2.344,-102.75
22.9,52.85,147.9,35.15,204.9,154.15,18.6,-72.3,67.3,-59.19,0,0.4,1.08,4.429,20220919_094052.748,PHASE_0,6.993,-2.302,-112.89
22.9,57.8,113.0,65.35,171.6,144.5,18.76,-69.46,62.4,-65.79,0,0.43,1.14,4.402,20220919_094052.857,PHASE_0,7.006,-2.135,-116.49
22.1,56.5,114.55,70.55,177.05,147.65,18.76,-69.46,62.4,-65.79,0,0.43,1.14,4.402,20220919_094052.969,PHASE_0,7.006,-2.135,-116.49
