Boom_Head_C_P,Arm_Rod_C_P,Arm_Head_C_P,Bkt_Rod_C_P,Bkt_Head_C_P,Boom_Rod_C_P,Boom_theta,Arm_theta,Bkt_theta,Jbkt ,Cabin_Slope_Yaw,Cabin_Slope_Pitch,Cabin_Slope_Roll,Dist,ImgName,Phase,distance,depth,bktAOA
27.05,135.15,60.15,63.25,67.7,164.8,12.82,-48.42,91.8,-28.07,0,1.17,0.35,4.401,P_20220919_094510.944,PHASE_0,9.462,-2.162,-63.67
23.65,114.3,59.6,71.6,71.6,120.8,12.82,-48.42,91.8,-28.07,0,1.17,0.35,4.401,20220919_094512.949,PHASE_0,9.462,-2.162,-63.67
24.45,94.0,33.85,76.3,68.2,129.9,13.38,-52.68,85.7,-35.61,0,1.22,0.53,4.401,20220919_094513.002,PHASE_0,8.971,-2.396,-74.91
23.4,88.5,43.75,103.35,105.45,165.35,13.38,-52.68,85.7,-35.61,0,1.22,0.53,4.479,20220919_094513.063,PHASE_0,8.971,-2.396,-74.91
23.65,111.95,73.4,118.45,134.35,165.85,14.2,-50.7,72.5,-52.36,0,1.21,0.39,4.524,20220919_094513.174,PHASE_0,8.578,-2.256,-88.86
24.2,109.85,73.15,131.25,146.6,170.8,14.79,-57.49,73.4,-51.2,0,1.25,0.49,4.595,20220919_094513.286,PHASE_0,8.178,-2.449,-93.9
23.4,110.4,70.05,133.85,147.1,170.55,16.41,-63.61,70.6,-54.84,0,1.19,0.21,4.507,20220919_094513.393,PHASE_0,7.686,-2.414,-102.04
24.7,110.65,72.1,142.4,148.15,170.3,17.26,-66.16,68.7,-57.34,0,1.24,0.39,4.507,20220919_094513.502,PHASE_0,7.453,-2.353,-106.24
23.65,120.3,78.6,147.35,154.4,170.8,18.88,-70.98,64.6,-62.8,0,1.25,0.35,4.634,20220919_094513.612,PHASE_0,6.991,-2.193,-114.9
24.45,128.9,80.7,149.2,153.35,168.2,19.65,-73.65,63.3,-64.56,0,1.26,0.39,4.658,20220919_094513.721,PHASE_0,6.77,-2.121,-118.56
22.9,131.25,84.6,160.65,165.35,179.15,20.27,-76.17,61.7,-66.74,0,1.28,0.42,4.778,20220919_094513.834,PHASE_0,6.544,-2.046,-122.64
25.75,132.8,87.5,159.1,169.75,181.5,20.73,-78.53,60.5,-68.39,0,1.28,0.42,5.102,20220919_094513.942,PHASE_0,6.341,-1.988,-126.19
25.75,132.8,87.5,159.1,169.75,181.5,20.73,-78.53,60.5,-68.39,0,1.28,0.42,5.102,20220919_094514.050,PHASE_0,6.341,-1.988,-126.19
25.75,132.8,87.5,159.1,169.75,181.5,20.73,-78.53,60.5,-68.39,0,1.28,0.42,5.102,20220919_094514.160,PHASE_0,6.341,-1.988,-126.19
25.75,132.8,87.5,159.1,169.75,181.5,20.73,-78.53,60.5,-68.39,0,1.28,0.42,5.102,20220919_094514.272,PHASE_0,6.341,-1.988,-126.19
25.75,132.8,87.5,159.1,169.75,181.5,20.73,-78.53,60.5,-68.39,0,1.28,0.42,5.102,20220919_094514.380,PHASE_0,6.341,-1.988,-126.19
25.75,132.8,87.5,159.1,169.75,181.5,20.73,-78.53,60.5,-68.39,0,1.28,0.42,5.102,20220919_094514.488,PHASE_0,6.341,-1.988,-126.19
25.75,132.8,87.5,159.1,169.75,181.5,20.73,-78.53,60.5,-68.39,0,1.28,0.42,5.102,20220919_094514.598,PHASE_0,6.341,-1.988,-126.19
25.75,132.8,87.5,159.1,169.75,181.5,20.73,-78.53,60.5,-68.39,0,1.28,0.42,5.102,20220919_094514.706,PHASE_0,6.341,-1.988,-126.19
25.5,131.5,89.55,167.7,179.9,185.65,21.15,-80.95,60.2,-68.81,0,1.28,0.42,5.102,20220919_094514.816,PHASE_0,6.167,-1.952,-128.61
25.75,119.0,97.1,170.05,189.55,180.95,22.08,-87.28,60.5,-68.39,0,1.26,0.33,6.366,20220919_094514.931,PHASE_0,5.743,-1.883,-133.59
45.3,81.25,114.05,186.95,219.0,162.75,22.72,-92.62,58.7,-70.89,0,1.28,0.35,6.507,20220919_094515.034,PHASE_0,5.316,-1.738,-140.79
66.4,57.25,156.25,167.15,239.55,139.8,22.87,-94.37,57.3,-72.86,0,1.28,0.29,6.555,20220919_094515.146,PHASE_0,5.155,-1.656,-144.36
73.4,64.3,130.7,142.15,209.1,120.8,23.01,-100.21,61.3,-67.29,0,1.3,0.32,6.555,20220919_094515.253,PHASE_0,4.848,-1.721,-144.49
57.0,32.0,166.4,107.55,245.3,125.25,23.01,-100.21,61.3,-67.29,0,1.3,0.32,6.57,P_20220919_094515.301,PHASE_0,4.848,-1.721,-144.49
