Boom_Head_C_P,Arm_Rod_C_P,Arm_Head_C_P,Bkt_Rod_C_P,Bkt_Head_C_P,Boom_Rod_C_P,Boom_theta,Arm_theta,Bkt_theta,Jbkt ,Cabin_Slope_Yaw,Cabin_Slope_Pitch,Cabin_Slope_Roll,Dist,ImgName,Phase,distance,depth,bktAOA
21.05,154.4,22.35,114.05,60.15,178.6,32.11,-66.31,98.6,-19.77,0,0.89,1.0,8.855,P_20220919_095826.201,PHASE_0,8.987,-0.001,-53.97
22.35,147.9,23.15,119.25,64.8,162.5,30.56,-71.56,102.2,-15.41,0,0.91,1.11,8.855,20220919_095828.052,PHASE_0,8.782,-0.485,-56.41
21.05,143.75,21.6,145.55,79.9,171.05,28.83,-69.23,102.8,-14.68,0,0.89,1.21,8.575,20220919_095828.157,PHASE_0,8.934,-0.598,-55.08
21.85,159.85,29.9,174.2,92.4,165.35,22.84,-67.54,99.3,-18.92,0,0.87,1.22,5.848,20220919_095828.263,PHASE_0,8.812,-1.503,-63.62
20.55,155.95,27.05,159.85,89.05,190.85,16.91,-68.01,95.2,-23.91,0,0.85,1.27,5.217,20220919_095828.376,PHASE_0,8.414,-2.477,-75.01
23.15,58.3,135.15,152.6,188.8,47.65,14.36,-70.06,98.8,-19.53,0,0.85,1.43,4.971,20220919_095828.486,PHASE_0,8.281,-2.895,-75.23
23.65,53.6,119.5,172.9,208.85,0.0,14.97,-72.97,93.4,-26.11,0,0.82,1.18,4.95,20220919_095828.598,PHASE_0,7.865,-2.953,-84.11
25.75,50.5,122.9,167.95,204.9,89.8,14.97,-72.97,93.4,-26.11,0,0.82,1.18,4.95,20220919_095828.703,PHASE_0,7.865,-2.953,-84.11
23.4,55.95,139.55,167.4,211.7,92.95,15.2,-73.2,97.0,-21.72,0,0.83,0.95,5.035,20220919_095828.810,PHASE_0,8.005,-2.908,-79.72
23.4,55.95,139.55,167.4,211.7,92.95,15.2,-73.2,97.0,-21.72,0,0.83,0.95,5.035,20220919_095828.926,PHASE_0,8.005,-2.908,-79.72
24.45,59.6,124.45,158.85,199.7,103.35,15.2,-73.2,97.0,-21.72,0,0.83,0.95,5.035,20220919_095829.034,PHASE_0,8.005,-2.908,-79.72
24.2,63.8,121.05,139.55,181.25,94.25,15.76,-72.36,93.7,-25.74,0,0.73,0.61,5.114,20220919_095829.144,PHASE_0,7.966,-2.822,-82.34
24.2,63.8,121.05,139.55,181.25,94.25,15.76,-72.36,93.7,-25.74,0,0.73,0.61,5.114,20220919_095829.251,PHASE_0,7.966,-2.822,-82.34
24.7,61.7,127.05,115.6,172.35,95.8,16.49,-78.09,95.6,-23.42,0,0.72,0.69,5.124,20220919_095829.359,PHASE_0,7.621,-2.895,-85.02
25.5,56.25,132.55,108.05,171.35,101.3,16.49,-78.09,95.6,-23.42,0,0.72,0.69,5.124,20220919_095829.473,PHASE_0,7.621,-2.895,-85.02
22.1,59.1,127.05,116.4,164.05,104.9,17.12,-78.62,96.0,-22.93,0,0.71,0.96,5.124,20220919_095829.581,PHASE_0,7.626,-2.825,-84.43
24.7,63.0,124.7,126.8,169.25,104.9,17.75,-80.35,94.9,-24.28,0,0.76,0.85,5.031,20220919_095829.690,PHASE_0,7.47,-2.794,-86.88
22.9,61.15,126.55,136.95,178.9,111.95,17.75,-82.85,94.4,-24.89,0,0.73,1.0,5.031,20220919_095829.798,PHASE_0,7.243,-2.857,-89.99
23.65,60.15,132.8,147.35,188.0,117.4,18.31,-83.41,94.4,-24.89,0,0.73,1.0,5.038,20220919_095829.907,PHASE_0,7.224,-2.799,-89.99
24.2,60.15,135.15,150.75,196.35,122.1,18.83,-85.53,93.4,-26.11,0,0.76,0.92,5.038,20220919_095830.019,PHASE_0,7.032,-2.778,-92.81
31.5,56.25,144.25,159.6,205.95,121.05,19.37,-87.37,92.9,-26.72,0,0.75,0.89,5.112,20220919_095830.127,PHASE_0,6.883,-2.746,-94.72
31.75,55.95,149.2,158.85,209.35,120.8,19.37,-87.37,92.9,-26.72,0,0.75,0.89,5.112,20220919_095830.236,PHASE_0,6.883,-2.746,-94.72
32.25,53.9,151.8,159.6,211.15,0.0,19.92,-90.12,93.3,-26.23,0,0.76,0.96,5.112,20220919_095830.341,PHASE_0,6.694,-2.726,-96.43
33.05,52.05,157.8,157.55,211.7,120.8,19.92,-90.12,93.3,-26.23,0,0.76,0.96,4.3,20220919_095830.454,PHASE_0,6.694,-2.726,-96.43
35.15,52.3,157.55,157.0,213.25,120.55,20.46,-92.06,93.3,-26.23,0,0.75,0.94,4.3,20220919_095830.561,PHASE_0,6.555,-2.69,-97.83
34.6,49.7,163.25,156.5,216.4,120.8,20.46,-92.06,93.3,-26.23,0,0.75,0.94,4.219,20220919_095830.669,PHASE_0,6.555,-2.69,-97.83
32.0,48.15,166.9,156.25,218.2,125.0,20.97,-94.37,93.3,-26.23,0,0.76,0.97,4.219,20220919_095830.778,PHASE_0,6.382,-2.659,-99.63
33.05,47.9,167.4,156.25,219.0,123.4,20.97,-94.37,93.3,-26.23,0,0.76,0.97,4.62,20220919_095830.892,PHASE_0,6.382,-2.659,-99.63
30.95,47.9,169.25,157.0,217.4,129.15,21.46,-96.46,93.5,-25.99,0,0.78,1.0,4.62,20220919_095831.001,PHASE_0,6.234,-2.624,-100.99
29.4,46.85,171.6,152.05,217.95,132.8,21.46,-96.46,93.5,-25.99,0,0.78,1.0,4.62,20220919_095831.110,PHASE_0,6.234,-2.624,-100.99
29.4,46.85,171.6,152.05,217.95,132.8,21.46,-96.46,93.5,-25.99,0,0.78,1.0,4.62,20220919_095831.224,PHASE_0,6.234,-2.624,-100.99
29.4,46.85,171.6,152.05,217.95,132.8,21.46,-96.46,93.5,-25.99,0,0.78,1.0,4.62,20220919_095831.332,PHASE_0,6.234,-2.624,-100.99
29.4,46.85,171.6,152.05,217.95,132.8,21.46,-96.46,93.5,-25.99,0,0.78,1.0,4.62,20220919_095831.440,PHASE_0,6.234,-2.624,-100.99
31.5,47.9,165.35,160.15,213.25,131.75,22.56,-100.76,93.2,-26.36,0,0.76,0.96,6.419,20220919_095831.549,PHASE_0,5.903,-2.527,-104.56
57.55,44.0,203.9,193.2,260.15,114.05,23.09,-106.69,94.4,-24.89,0,0.79,1.01,6.492,20220919_095831.661,PHASE_0,5.464,-2.482,-108.49
52.85,39.55,226.8,191.9,276.3,117.15,23.32,-106.92,94.4,-24.89,0,0.79,1.01,6.492,20220919_095831.767,PHASE_0,5.454,-2.459,-108.49
56.25,31.25,276.55,122.9,267.15,113.0,23.42,-102.62,91.3,-28.69,0,0.79,0.97,6.083,20220919_095831.875,PHASE_0,5.705,-2.42,-107.89
60.15,32.0,281.5,87.75,247.9,112.75,23.42,-102.62,91.3,-28.69,0,0.79,0.97,6.083,20220919_095831.988,PHASE_0,5.705,-2.42,-107.89
59.85,31.25,283.85,65.35,241.9,0.0,23.4,-103.4,93.7,-25.74,0,0.78,0.97,6.083,20220919_095832.096,PHASE_0,5.733,-2.451,-105.74
56.25,31.25,291.4,52.6,241.4,116.4,23.4,-103.4,93.7,-25.74,0,0.78,0.97,6.083,20220919_095832.204,PHASE_0,5.733,-2.451,-105.74
47.35,29.9,296.05,42.15,239.05,120.8,23.38,-108.38,95.4,-23.67,0,0.76,0.96,6.18,20220919_095832.314,PHASE_0,5.37,-2.459,-108.67
43.75,30.7,295.55,44.25,240.35,122.1,23.32,-109.82,92.1,-27.7,0,0.76,0.93,6.18,20220919_095832.424,PHASE_0,5.118,-2.403,-114.2
41.1,31.5,297.1,38.25,242.95,123.4,23.32,-109.82,92.1,-27.7,0,0.76,0.93,6.18,20220919_095832.531,PHASE_0,5.118,-2.403,-114.2
35.4,31.25,294.5,43.2,240.35,125.75,23.24,-109.24,90.9,-29.18,0,0.75,0.92,6.18,20220919_095832.639,PHASE_0,5.118,-2.395,-115.18
27.3,31.25,294.25,41.9,249.2,129.65,23.24,-109.24,90.9,-29.18,0,0.75,0.92,6.18,20220919_095832.755,PHASE_0,5.118,-2.395,-115.18
22.9,31.25,301.8,58.55,261.45,132.25,23.2,-109.9,88.3,-32.39,0,0.76,0.97,6.099,20220919_095832.859,PHASE_0,4.964,-2.341,-119.09
22.9,31.25,300.75,77.85,276.3,133.85,23.2,-109.9,88.3,-32.39,0,0.76,0.97,6.099,20220919_095832.968,PHASE_0,4.964,-2.341,-119.09
21.85,33.05,294.0,89.55,275.5,135.15,23.14,-111.44,86.9,-34.12,0,0.76,0.97,6.09,20220919_095833.078,PHASE_0,4.784,-2.294,-122.42
22.9,45.55,281.25,98.65,274.45,141.1,23.14,-111.44,86.9,-34.12,0,0.76,0.97,6.09,20220919_095833.189,PHASE_0,4.784,-2.294,-122.42
22.9,45.55,281.25,98.65,274.45,141.1,23.14,-111.44,86.9,-34.12,0,0.76,0.97,6.09,20220919_095833.300,PHASE_0,4.784,-2.294,-122.42
22.9,45.55,281.25,98.65,274.45,141.1,23.14,-111.44,86.9,-34.12,0,0.76,0.97,6.09,20220919_095833.408,PHASE_0,4.784,-2.294,-122.42
22.9,45.55,281.25,98.65,274.45,141.1,23.14,-111.44,86.9,-34.12,0,0.76,0.97,6.09,20220919_095833.521,PHASE_0,4.784,-2.294,-122.42
22.9,48.15,279.9,106.75,283.85,158.55,23.02,-110.42,85.2,-36.23,0,0.78,1.0,6.535,20220919_095833.626,PHASE_0,4.803,-2.282,-123.63
22.9,91.4,263.25,96.6,260.4,165.1,22.92,-110.42,81.0,-41.5,0,0.78,1.03,5.933,20220919_095833.736,PHASE_0,4.656,-2.185,-129.0
22.9,91.4,263.25,96.6,260.4,165.1,22.92,-110.42,81.0,-41.5,0,0.78,1.03,5.933,20220919_095833.848,PHASE_0,4.656,-2.185,-129.0
22.9,91.4,263.25,96.6,260.4,165.1,22.92,-110.42,81.0,-41.5,0,0.78,1.03,5.933,20220919_095833.957,PHASE_0,4.656,-2.185,-129.0
22.9,135.15,233.05,89.55,224.7,67.4,22.63,-110.83,78.3,-44.91,0,0.78,1.04,5.933,20220919_095834.065,PHASE_0,4.526,-2.124,-133.11
24.45,153.9,164.55,90.85,189.55,216.1,22.4,-109.4,72.4,-52.49,0,0.76,1.06,6.483,20220919_095834.181,PHASE_0,4.452,-1.989,-139.49
22.9,151.0,145.05,97.65,177.05,213.8,22.4,-109.4,72.4,-52.49,0,0.76,1.06,6.462,20220919_095834.283,PHASE_0,4.452,-1.989,-139.49
24.45,142.7,147.9,91.4,189.55,212.2,22.41,-110.91,70.4,-55.1,0,0.78,1.17,6.462,20220919_095834.392,PHASE_0,4.283,-1.882,-143.6
24.45,142.7,147.9,91.4,189.55,212.2,22.41,-110.91,70.4,-55.1,0,0.78,1.17,6.462,20220919_095834.520,PHASE_0,4.283,-1.882,-143.6
24.45,142.7,147.9,91.4,189.55,212.2,22.41,-110.91,70.4,-55.1,0,0.78,1.17,6.462,20220919_095834.612,PHASE_0,4.283,-1.882,-143.6
24.45,142.7,147.9,91.4,189.55,212.2,22.41,-110.91,70.4,-55.1,0,0.78,1.17,6.462,20220919_095834.723,PHASE_0,4.283,-1.882,-143.6
22.9,132.55,163.0,96.6,202.05,213.5,22.41,-110.91,70.4,-55.1,0,0.78,1.17,6.462,20220919_095834.827,PHASE_0,4.283,-1.882,-143.6
24.2,184.6,120.3,129.9,186.95,210.65,22.5,-109.0,63.3,-64.56,0,0.79,1.1,5.906,20220919_095834.942,PHASE_0,4.252,-1.656,-151.06
23.65,190.35,107.8,121.05,178.9,224.2,22.52,-109.82,61.7,-66.74,0,0.79,1.18,5.877,20220919_095835.044,PHASE_0,4.162,-1.567,-154.04
25.75,207.55,102.6,105.7,173.15,245.55,22.54,-108.14,58.8,-70.75,0,0.78,1.1,5.877,20220919_095835.157,PHASE_0,4.22,-1.489,-156.35
23.65,217.4,100.25,93.75,162.2,250.75,22.54,-108.14,58.8,-70.75,0,0.78,1.1,5.876,20220919_095835.267,PHASE_0,4.22,-1.489,-156.35
24.2,219.25,101.55,88.25,158.05,239.8,22.93,-107.73,55.7,-75.13,0,0.78,0.99,5.876,20220919_095835.376,PHASE_0,4.202,-1.334,-159.93
24.2,201.8,104.9,77.05,151.8,79.15,22.93,-108.83,53.2,-78.73,0,0.8,1.2,5.935,20220919_095835.486,PHASE_0,4.094,-1.188,-164.63
23.4,198.15,93.2,62.2,145.05,200.5,24.91,-112.21,52.8,-79.31,0,0.83,1.25,5.935,20220919_095835.597,PHASE_0,3.915,-0.931,-166.61
21.6,198.65,92.15,59.1,147.35,204.15,24.91,-112.21,52.8,-79.31,0,0.83,1.25,5.935,20220919_095835.706,PHASE_0,3.915,-0.931,-166.61
27.05,199.2,89.8,57.8,149.2,208.05,26.03,-112.53,47.7,-86.92,0,0.85,1.2,6.721,20220919_095835.813,PHASE_0,3.866,-0.592,-173.42
22.9,202.05,89.8,57.25,152.6,208.55,26.03,-112.53,47.7,-86.92,0,0.85,1.2,6.721,20220919_095835.923,PHASE_0,3.866,-0.592,-173.42
23.65,201.8,89.8,62.75,154.9,207.55,27.15,-105.95,40.2,-98.88,0,0.89,1.31,7.03,20220919_095836.030,PHASE_0,4.214,-0.286,-177.68
23.65,202.3,88.0,50.25,158.85,205.7,27.15,-105.95,40.2,-98.88,0,0.89,1.31,7.03,20220919_095836.140,PHASE_0,4.214,-0.286,-177.68
