Boom_Head_C_P,Arm_Rod_C_P,Arm_Head_C_P,Bkt_Rod_C_P,Bkt_Head_C_P,Boom_Rod_C_P,Boom_theta,Arm_theta,Bkt_theta,Jbkt ,Cabin_Slope_Yaw,Cabin_Slope_Pitch,Cabin_Slope_Roll,Dist,ImgName,Phase,distance,depth,bktAOA
19.25,212.2,18.2,146.05,76.8,193.2,9.99,-40.29,97.3,-21.35,0,1.17,0.28,3.552,P_20220919_095351.316,PHASE_0,10.021,-2.006,-51.65
22.9,237.2,14.55,153.1,85.15,216.65,8.33,-35.73,96.1,-22.81,0,1.21,0.23,3.261,20220919_095352.590,PHASE_0,10.164,-2.015,-50.21
24.2,248.65,16.1,131.25,74.45,226.3,8.33,-35.73,96.1,-22.81,0,1.21,0.23,3.261,20220919_095352.636,PHASE_0,10.164,-2.015,-50.21
24.45,100.75,53.9,79.9,91.9,145.8,7.89,-43.49,96.6,-22.2,0,1.19,0.26,3.073,20220919_095352.747,PHASE_0,9.731,-2.593,-57.8
25.5,104.65,77.85,64.55,111.45,153.9,10.99,-47.69,78.4,-44.79,0,1.05,-0.18,3.507,20220919_095352.853,PHASE_0,8.896,-2.585,-81.49
24.2,104.65,76.55,56.25,106.5,156.5,12.01,-51.31,76.3,-47.46,0,1.11,-0.09,3.507,20220919_095352.963,PHASE_0,8.61,-2.605,-86.76
24.45,104.4,77.3,48.4,103.9,154.9,12.01,-51.31,76.3,-47.46,0,1.11,-0.09,3.507,20220919_095353.078,PHASE_0,8.61,-2.605,-86.76
25.25,103.9,78.6,47.9,106.25,154.9,12.98,-52.48,75.1,-49.0,0,1.14,0.09,3.507,20220919_095353.188,PHASE_0,8.521,-2.513,-88.5
25.5,103.35,78.9,45.05,105.95,158.05,12.98,-52.48,75.1,-49.0,0,1.14,0.09,3.713,20220919_095353.296,PHASE_0,8.521,-2.513,-88.5
26.3,105.7,82.55,42.7,110.4,155.7,13.92,-54.52,73.5,-51.07,0,1.14,0.11,3.878,20220919_095353.410,PHASE_0,8.352,-2.459,-91.67
24.7,105.45,86.15,39.55,112.75,155.95,14.79,-56.19,71.1,-54.19,0,1.14,0.11,3.878,20220919_095353.515,PHASE_0,8.168,-2.392,-95.59
