Boom_Head_C_P,Arm_Rod_C_P,Arm_Head_C_P,Bkt_Rod_C_P,Bkt_Head_C_P,Boom_Rod_C_P,Boom_theta,Arm_theta,Bkt_theta,Jbkt ,Cabin_Slope_Yaw,Cabin_Slope_Pitch,Cabin_Slope_Roll,Dist,ImgName,Phase,distance,depth,bktAOA
22.35,191.9,32.8,171.85,97.1,50.25,14.36,-52.06,109.4,-6.72,0,0.89,1.49,6.905,P_20220919_095811.579,PHASE_0,9.878,-1.711,-44.42
22.9,197.9,31.25,159.6,92.7,188.25,14.36,-52.06,109.4,-6.72,0,0.89,1.49,6.905,20220919_095813.371,PHASE_0,9.878,-1.711,-44.42
22.9,197.9,31.25,159.6,92.7,188.25,14.36,-52.06,109.4,-6.72,0,0.89,1.49,6.905,20220919_095813.409,PHASE_0,9.878,-1.711,-44.42
22.9,192.4,33.55,105.95,67.4,195.8,11.35,-50.75,105.0,-12.02,0,0.9,1.48,6.905,20220919_095813.497,PHASE_0,9.718,-2.261,-51.42
24.2,68.75,115.1,128.35,164.8,67.4,10.97,-52.67,98.6,-19.77,0,0.85,1.2,4.17,20220919_095813.612,PHASE_0,9.362,-2.583,-61.47
23.4,57.25,109.6,57.8,131.25,91.65,12.31,-55.91,85.6,-35.74,0,0.75,0.82,4.252,20220919_095813.721,PHASE_0,8.697,-2.718,-79.34
24.7,60.15,105.7,51.55,122.65,93.2,14.52,-60.92,85.8,-35.49,0,0.78,0.97,4.737,20220919_095813.828,PHASE_0,8.449,-2.606,-81.89
31.25,65.35,126.8,127.85,186.7,91.65,15.88,-65.18,82.7,-39.36,0,0.78,0.99,4.87,20220919_095813.937,PHASE_0,8.066,-2.588,-88.66
34.1,65.1,126.55,140.6,194.5,94.5,16.53,-68.73,82.7,-39.36,0,0.78,0.97,4.938,20220919_095814.048,PHASE_0,7.826,-2.619,-91.56
33.55,63.8,126.3,151.8,201.3,95.8,16.53,-68.73,82.7,-39.36,0,0.78,0.97,4.938,20220919_095814.152,PHASE_0,7.826,-2.619,-91.56
33.85,64.05,135.15,156.5,210.4,95.8,17.0,-70.1,80.6,-42.0,0,0.73,0.86,4.864,20220919_095814.264,PHASE_0,7.653,-2.593,-95.1
33.85,62.2,133.3,159.6,211.7,96.6,17.0,-70.1,80.6,-42.0,0,0.73,0.86,4.864,20220919_095814.375,PHASE_0,7.653,-2.593,-95.1
31.25,63.0,134.35,159.1,214.3,104.65,17.42,-72.22,80.4,-42.25,0,0.76,0.85,4.792,20220919_095814.486,PHASE_0,7.499,-2.597,-97.05
