Boom_Head_C_P,Arm_Rod_C_P,Arm_Head_C_P,Bkt_Rod_C_P,Bkt_Head_C_P,Boom_Rod_C_P,Boom_theta,Arm_theta,Bkt_theta,Jbkt ,Cabin_Slope_Yaw,Cabin_Slope_Pitch,Cabin_Slope_Roll,Dist,ImgName,Phase,distance,depth,bktAOA
22.1,214.55,53.6,100.75,67.15,129.4,14.42,-39.32,119.0,4.85,0,1.17,0.08,4.611,P_20220919_095405.507,PHASE_0,10.672,-0.421,-20.05
22.9,211.7,66.1,103.6,71.6,117.15,14.42,-45.22,109.9,-6.12,0,1.18,0.26,4.576,20220919_095406.779,PHASE_0,10.252,-1.203,-36.92
21.35,214.55,30.95,106.75,60.15,191.65,12.76,-41.96,103.3,-14.08,0,1.18,0.0,4.402,20220919_095406.856,PHASE_0,10.2,-1.468,-43.28
24.2,210.4,86.45,110.9,112.2,162.2,9.46,-44.16,88.8,-31.77,0,1.15,0.14,3.543,20220919_095406.967,PHASE_0,9.475,-2.521,-66.47
25.25,119.0,79.65,95.3,134.6,36.15,9.5,-44.9,73.1,-51.58,0,1.14,0.14,3.497,20220919_095407.077,PHASE_0,8.782,-2.706,-86.98
24.7,114.55,79.65,98.65,144.5,165.85,9.5,-44.9,73.1,-51.58,0,1.14,0.14,3.497,20220919_095407.186,PHASE_0,8.782,-2.706,-86.98
25.5,106.75,69.25,125.25,153.6,162.75,10.3,-47.0,63.9,-63.75,0,1.15,0.01,3.634,20220919_095407.293,PHASE_0,8.272,-2.648,-100.45
24.7,108.3,71.05,125.75,153.6,165.35,11.29,-49.49,64.7,-62.67,0,1.15,-0.04,3.883,20220919_095407.403,PHASE_0,8.189,-2.604,-100.87
24.2,114.8,76.3,125.5,153.35,163.25,11.29,-49.69,65.5,-61.59,0,1.15,0.11,3.883,20220919_095407.517,PHASE_0,8.211,-2.618,-99.99
26.0,122.35,82.8,125.25,149.7,154.9,12.37,-50.77,65.5,-61.59,0,1.15,0.11,4.164,20220919_095407.623,PHASE_0,8.187,-2.503,-99.99
24.7,124.7,84.6,118.75,148.15,156.75,13.42,-53.22,64.6,-62.8,0,1.15,0.15,4.164,20220919_095407.733,PHASE_0,8.027,-2.433,-102.6
25.75,128.1,86.95,115.35,148.15,156.75,13.42,-53.22,64.6,-62.8,0,1.15,0.15,4.164,20220919_095407.844,PHASE_0,8.027,-2.433,-102.6
25.75,128.6,89.55,114.55,152.05,158.05,14.35,-56.05,64.5,-62.94,0,1.15,0.09,4.164,20220919_095407.951,PHASE_0,7.869,-2.397,-104.64
25.75,129.9,91.1,116.1,152.3,159.35,14.35,-56.05,64.5,-62.94,0,1.15,0.09,4.396,20220919_095408.063,PHASE_0,7.869,-2.397,-104.64
29.15,124.2,94.0,114.3,156.25,161.95,15.2,-57.8,64.7,-62.67,0,1.15,0.09,4.396,20220919_095408.170,PHASE_0,7.792,-2.338,-105.27
24.7,123.15,95.05,114.55,155.45,159.6,15.2,-57.8,64.7,-62.67,0,1.15,0.09,4.533,20220919_095408.280,PHASE_0,7.792,-2.338,-105.27
26.8,122.9,96.05,114.8,154.65,154.15,16.03,-60.43,64.8,-62.53,0,1.15,0.05,4.533,20220919_095408.389,PHASE_0,7.646,-2.307,-106.93
26.8,117.4,97.65,114.55,161.7,160.9,16.83,-63.63,64.5,-62.94,0,1.14,0.04,4.399,20220919_095408.498,PHASE_0,7.439,-2.285,-109.74
26.0,114.8,97.9,115.35,163.0,159.6,16.83,-63.63,64.5,-62.94,0,1.14,0.04,4.435,20220919_095408.604,PHASE_0,7.439,-2.285,-109.74
27.3,111.15,97.9,118.75,165.35,32.55,17.55,-65.95,64.4,-63.07,0,1.14,0.02,4.435,20220919_095408.717,PHASE_0,7.297,-2.248,-111.47
27.3,106.5,99.45,124.7,173.15,153.6,17.55,-65.95,64.4,-63.07,0,1.14,0.02,4.435,20220919_095408.823,PHASE_0,7.297,-2.248,-111.47
26.8,103.9,103.35,131.25,178.35,155.45,18.19,-68.39,64.1,-63.48,0,1.14,0.05,4.435,20220919_095408.935,PHASE_0,7.132,-2.217,-113.68
29.65,85.65,109.1,139.05,198.15,151.0,18.19,-68.39,64.1,-63.48,0,1.14,0.05,4.435,20220919_095409.042,PHASE_0,7.132,-2.217,-113.68
31.25,83.05,106.5,140.1,203.35,146.85,18.72,-70.82,63.7,-64.02,0,1.12,0.04,4.435,20220919_095409.154,PHASE_0,6.959,-2.192,-116.12
30.45,77.05,111.95,125.5,208.05,148.65,18.72,-70.82,63.7,-64.02,0,1.12,0.04,4.423,20220919_095409.264,PHASE_0,6.959,-2.192,-116.12
27.85,62.2,119.0,85.65,199.45,158.85,19.06,-72.86,63.5,-64.29,0,1.14,0.04,4.423,20220919_095409.371,PHASE_0,6.814,-2.182,-118.09
26.3,56.5,119.5,64.05,189.8,164.05,19.06,-75.06,62.7,-65.38,0,1.15,0.04,4.388,20220919_095409.487,PHASE_0,6.62,-2.196,-121.38
27.85,59.1,119.25,64.55,189.55,166.65,19.24,-75.24,62.7,-65.38,0,1.15,0.04,4.388,20220919_095409.593,PHASE_0,6.614,-2.177,-121.38
26.0,53.9,128.6,63.8,198.95,166.65,19.26,-75.36,63.8,-63.88,0,1.12,0.0,4.387,20220919_095409.700,PHASE_0,6.649,-2.202,-119.98
26.55,50.75,139.8,55.2,209.1,167.95,19.29,-80.09,60.5,-68.39,0,1.14,0.04,4.4,20220919_095409.809,PHASE_0,6.175,-2.156,-129.19
