Boom_Head_C_P,Arm_Rod_C_P,Arm_Head_C_P,Bkt_Rod_C_P,Bkt_Head_C_P,Boom_Rod_C_P,Boom_theta,Arm_theta,Bkt_theta,Jbkt ,Cabin_Slope_Yaw,Cabin_Slope_Pitch,Cabin_Slope_Roll,Dist,ImgName,Phase,distance,depth,bktAOA
21.6,208.85,26.55,165.35,88.0,179.9,16.88,-41.38,109.4,-6.72,0,1.1,1.15,5.153,P_20220919_092221.390,PHASE_0,10.446,-0.484,-31.22
19.5,213.8,26.8,169.0,88.8,191.1,16.88,-41.38,109.4,-6.72,0,1.1,1.15,4.633,20220919_092222.511,PHASE_0,10.446,-0.484,-31.22
22.9,204.4,34.6,172.9,95.55,165.35,11.09,-42.99,105.8,-11.06,0,1.12,1.59,3.727,20220919_092222.605,PHASE_0,10.17,-1.764,-42.96
24.45,177.85,68.45,71.85,70.3,145.8,8.15,-41.85,100.7,-17.22,0,1.03,1.29,3.212,20220919_092222.716,PHASE_0,9.974,-2.344,-50.92
23.65,127.3,85.65,85.65,94.0,96.35,8.42,-43.72,102.6,-14.92,0,1.03,1.39,3.169,20220919_092222.826,PHASE_0,9.939,-2.372,-50.22
23.15,103.35,83.55,92.4,104.65,87.2,8.42,-43.72,102.6,-14.92,0,1.03,1.39,3.169,20220919_092222.938,PHASE_0,9.939,-2.372,-50.22
24.2,103.1,85.15,88.5,108.55,98.15,8.73,-45.53,99.8,-18.31,0,1.04,1.49,3.272,20220919_092223.047,PHASE_0,9.755,-2.505,-55.11
24.45,110.4,89.8,84.1,115.35,117.95,8.73,-45.53,99.8,-18.31,0,1.04,1.49,3.272,20220919_092223.155,PHASE_0,9.755,-2.505,-55.11
24.7,88.25,109.6,64.55,127.6,129.15,8.8,-43.1,86.8,-34.24,0,1.1,1.36,3.3,20220919_092223.263,PHASE_0,9.434,-2.6,-68.54
25.0,72.1,101.8,47.65,121.6,123.65,8.8,-43.1,86.8,-34.24,0,1.1,1.36,3.3,20220919_092223.373,PHASE_0,9.434,-2.6,-68.54
26.55,65.35,97.35,35.4,110.4,105.95,9.53,-46.93,80.7,-41.87,0,1.04,1.28,3.3,20220919_092223.479,PHASE_0,8.975,-2.759,-79.27
31.5,69.25,101.3,24.45,102.3,0.0,9.53,-48.83,86.3,-34.86,0,1.04,1.35,3.3,20220919_092223.592,PHASE_0,9.079,-2.8,-74.16
28.6,52.85,99.7,23.4,107.55,113.8,11.55,-53.35,85.6,-35.74,0,1.0,0.92,3.448,20220919_092223.705,PHASE_0,8.84,-2.715,-77.54
27.05,71.85,87.2,27.6,94.0,109.1,11.55,-53.35,85.6,-35.74,0,1.0,0.92,3.605,20220919_092223.811,PHASE_0,8.84,-2.715,-77.54
30.45,78.1,97.1,25.25,98.15,111.45,12.45,-52.45,82.5,-39.61,0,0.94,0.86,3.605,20220919_092223.919,PHASE_0,8.815,-2.559,-79.61
30.95,70.05,98.4,24.45,105.95,116.65,12.45,-52.45,82.5,-39.61,0,0.94,0.86,3.808,20220919_092224.028,PHASE_0,8.815,-2.559,-79.61
27.05,71.35,97.1,26.3,106.75,122.35,13.46,-58.06,82.3,-39.86,0,0.96,1.1,3.808,20220919_092224.138,PHASE_0,8.46,-2.66,-84.46
27.3,58.85,103.9,21.6,114.8,120.05,13.46,-58.06,82.3,-39.86,0,0.96,1.1,3.98,20220919_092224.244,PHASE_0,8.46,-2.66,-84.46
29.65,62.2,101.0,25.5,114.55,117.4,14.42,-57.72,80.3,-42.38,0,1.0,1.11,3.98,20220919_092224.356,PHASE_0,8.443,-2.511,-85.68
28.35,67.15,98.4,28.6,110.65,109.35,14.42,-57.72,80.3,-42.38,0,1.0,1.11,4.177,20220919_092224.464,PHASE_0,8.443,-2.511,-85.68
27.6,66.4,104.4,25.75,115.1,112.5,15.34,-61.54,80.5,-42.13,0,0.98,1.0,4.177,20220919_092224.575,PHASE_0,8.217,-2.531,-88.33
27.05,59.1,105.45,24.7,119.0,116.65,15.34,-61.54,80.5,-42.13,0,0.98,1.0,4.177,20220919_092224.690,PHASE_0,8.217,-2.531,-88.33
26.0,56.25,112.2,22.65,127.85,127.3,16.1,-63.5,78.6,-44.53,0,0.98,1.17,4.177,20220919_092224.795,PHASE_0,8.026,-2.495,-91.93
25.75,55.7,110.9,27.05,127.3,126.55,16.83,-64.13,76.8,-46.83,0,1.04,1.1,4.381,20220919_092224.903,PHASE_0,7.933,-2.412,-94.13
27.3,61.15,104.15,29.15,121.05,125.5,16.83,-64.13,76.8,-46.83,0,1.04,1.1,4.526,20220919_092225.013,PHASE_0,7.933,-2.412,-94.13
26.55,58.85,105.7,27.05,123.4,125.75,17.58,-67.08,76.3,-47.46,0,0.97,1.17,4.526,20220919_092225.120,PHASE_0,7.724,-2.404,-96.96
23.65,57.0,109.85,27.3,129.4,129.15,17.58,-67.08,76.3,-47.46,0,0.97,1.17,4.56,20220919_092225.230,PHASE_0,7.724,-2.404,-96.96
26.8,56.25,110.4,24.7,132.0,139.8,18.31,-70.31,75.8,-48.1,0,1.0,1.14,4.56,20220919_092225.338,PHASE_0,7.49,-2.399,-100.1
27.85,57.0,106.75,28.1,131.25,139.8,18.31,-70.31,74.3,-50.03,0,1.01,1.09,4.578,20220919_092225.454,PHASE_0,7.426,-2.386,-102.03
25.5,56.5,105.95,30.95,130.7,140.85,19.02,-71.02,74.3,-50.03,0,1.01,1.09,4.578,20220919_092225.559,PHASE_0,7.401,-2.313,-102.03
25.5,61.95,103.9,32.0,128.1,145.8,19.73,-74.03,73.4,-51.2,0,1.0,1.17,4.713,20220919_092225.672,PHASE_0,7.162,-2.287,-105.5
25.75,63.0,106.5,34.1,128.6,140.1,19.73,-74.03,73.4,-51.2,0,1.0,1.17,4.713,20220919_092225.777,PHASE_0,7.162,-2.287,-105.5
23.15,59.1,107.0,32.55,137.2,143.2,20.36,-76.36,72.0,-53.01,0,1.0,1.24,4.713,20220919_092225.887,PHASE_0,6.95,-2.24,-109.01
25.75,61.7,105.95,34.6,134.85,145.8,20.36,-76.36,72.0,-53.01,0,1.0,1.24,4.713,20220919_092225.997,PHASE_0,6.95,-2.24,-109.01
26.3,59.85,114.55,34.6,147.35,147.35,20.91,-77.81,70.9,-54.45,0,1.04,1.22,4.795,20220919_092226.107,PHASE_0,6.814,-2.184,-111.35
24.45,62.2,107.55,52.85,152.3,158.85,21.37,-79.87,69.0,-56.94,0,1.03,1.28,5.323,20220919_092226.212,PHASE_0,6.595,-2.129,-115.44
24.45,63.8,110.65,64.55,162.5,161.7,21.37,-79.87,69.0,-56.94,0,1.03,1.28,5.323,20220919_092226.329,PHASE_0,6.595,-2.129,-115.44
24.45,63.5,114.55,78.6,177.05,162.5,21.62,-81.82,67.6,-58.79,0,1.04,1.32,5.175,20220919_092226.438,PHASE_0,6.399,-2.096,-118.99
29.9,62.2,122.65,93.2,189.55,160.15,21.62,-81.82,67.6,-58.79,0,1.04,1.32,5.175,20220919_092226.545,PHASE_0,6.399,-2.096,-118.99
27.3,60.15,120.55,99.2,197.9,161.7,21.72,-83.92,65.8,-61.19,0,1.04,1.31,4.305,20220919_092226.655,PHASE_0,6.173,-2.061,-123.39
21.85,61.7,119.75,103.35,199.7,165.6,21.72,-83.92,65.8,-61.19,0,1.04,1.31,4.305,20220919_092226.765,PHASE_0,6.173,-2.061,-123.39
23.65,58.55,118.45,104.4,203.35,170.8,21.69,-85.49,64.0,-63.61,0,1.03,1.32,6.27,20220919_092226.873,PHASE_0,5.986,-2.025,-127.41
23.15,55.45,125.75,93.75,215.1,177.85,21.69,-85.49,64.0,-63.61,0,1.03,1.32,6.27,20220919_092226.978,PHASE_0,5.986,-2.025,-127.41
22.35,49.7,137.2,83.05,219.75,56.75,21.6,-87.8,61.4,-67.16,0,1.01,1.25,6.27,20220919_092227.090,PHASE_0,5.719,-1.959,-133.36
33.05,47.35,164.55,60.15,231.25,166.65,21.6,-87.8,61.4,-67.16,0,1.01,1.25,6.27,20220919_092227.199,PHASE_0,5.719,-1.959,-133.36
43.75,45.05,176.3,50.5,232.8,133.55,21.63,-93.03,60.5,-68.39,0,1.0,1.32,6.291,20220919_092227.311,PHASE_0,5.306,-1.9,-139.79
43.75,60.15,162.75,48.65,233.85,123.4,21.67,-93.07,60.5,-68.39,0,1.0,1.32,6.341,20220919_092227.417,PHASE_0,5.304,-1.896,-139.79
32.0,64.8,167.15,70.05,256.75,128.9,21.61,-95.31,58.3,-71.45,0,1.0,1.25,6.341,20220919_092227.530,PHASE_0,5.077,-1.796,-145.15
