Boom_Head_C_P,Arm_Rod_C_P,Arm_Head_C_P,Bkt_Rod_C_P,Bkt_Head_C_P,Boom_Rod_C_P,Boom_theta,Arm_theta,Bkt_theta,Jbkt ,Cabin_Slope_Yaw,Cabin_Slope_Pitch,Cabin_Slope_Roll,Dist,ImgName,Phase,distance,depth,bktAOA
20.55,183.85,27.6,160.65,89.55,184.1,18.71,-49.51,110.0,-6.0,0,1.19,0.01,5.649,P_20220919_095533.863,PHASE_0,10.122,-0.753,-36.8
19.5,206.25,23.15,168.2,83.05,211.7,18.71,-49.51,110.0,-6.0,0,1.19,0.01,5.649,20220919_095535.545,PHASE_0,10.122,-0.753,-36.8
19.5,206.25,23.15,168.2,83.05,211.7,18.71,-49.51,110.0,-6.0,0,1.19,0.01,5.649,20220919_095535.584,PHASE_0,10.122,-0.753,-36.8
24.45,222.35,38.8,185.4,96.05,71.6,14.96,-54.46,106.4,-10.33,0,1.14,-0.13,4.596,20220919_095535.671,PHASE_0,9.667,-1.849,-49.83
24.7,189.8,27.05,93.75,56.25,211.15,13.0,-55.2,104.3,-12.87,0,1.17,-0.16,4.46,20220919_095535.780,PHASE_0,9.482,-2.274,-55.07
23.15,102.6,44.5,71.85,72.1,141.4,13.18,-56.38,95.1,-24.03,0,1.19,0.01,4.378,20220919_095535.890,PHASE_0,9.082,-2.493,-67.23
25.75,97.9,90.1,62.75,121.05,166.9,13.74,-58.14,75.0,-49.13,0,1.19,-0.17,4.418,20220919_095536.006,PHASE_0,8.155,-2.628,-93.53
24.2,91.9,88.8,41.1,107.55,25.0,15.08,-62.28,80.1,-42.63,0,1.14,-0.35,4.47,20220919_095536.111,PHASE_0,8.134,-2.596,-89.83
24.45,89.8,91.1,36.95,114.55,158.3,15.9,-66.8,76.2,-47.59,0,1.12,-0.46,4.585,20220919_095536.223,PHASE_0,7.667,-2.621,-98.49
24.45,89.8,91.1,36.95,114.55,158.3,15.9,-66.8,76.2,-47.59,0,1.12,-0.46,4.585,20220919_095536.329,PHASE_0,7.667,-2.621,-98.49
24.45,89.8,91.1,36.95,114.55,158.3,15.9,-66.8,76.2,-47.59,0,1.12,-0.46,4.585,20220919_095536.444,PHASE_0,7.667,-2.621,-98.49
24.45,89.8,91.1,36.95,114.55,158.3,15.9,-66.8,76.2,-47.59,0,1.12,-0.46,4.585,20220919_095536.551,PHASE_0,7.667,-2.621,-98.49
24.45,89.8,91.1,36.95,114.55,158.3,15.9,-66.8,76.2,-47.59,0,1.12,-0.46,4.585,20220919_095536.661,PHASE_0,7.667,-2.621,-98.49
