Boom_Head_C_P,Arm_Rod_C_P,Arm_Head_C_P,Bkt_Rod_C_P,Bkt_Head_C_P,Boom_Rod_C_P,Boom_theta,Arm_theta,Bkt_theta,Jbkt ,Cabin_Slope_Yaw,Cabin_Slope_Pitch,Cabin_Slope_Roll,Dist,ImgName,Phase,distance,depth,bktAOA
20.3,200.25,40.85,190.35,107.55,189.8,16.49,-63.39,117.0,2.43,0,1.19,0.25,4.839,P_20220919_094357.628,PHASE_0,9.48,-1.858,-44.47
20.55,196.05,47.65,160.9,96.85,177.6,15.04,-61.94,117.0,2.43,0,1.19,0.25,4.839,20220919_094359.840,PHASE_0,9.522,-2.01,-44.47
20.55,196.05,47.65,160.9,96.85,177.6,15.04,-61.94,117.0,2.43,0,1.19,0.25,4.839,20220919_094359.889,PHASE_0,9.522,-2.01,-44.47
24.7,171.35,51.8,67.95,59.85,75.0,13.17,-60.87,102.5,-15.04,0,1.19,0.07,3.994,20220919_094359.999,PHASE_0,9.045,-2.601,-62.74
24.2,114.55,77.05,77.05,90.85,120.8,13.97,-62.17,92.0,-27.83,0,1.28,0.26,4.098,20220919_094400.109,PHASE_0,8.586,-2.692,-76.03
24.7,97.65,83.55,53.1,106.25,150.0,14.95,-61.45,79.2,-43.77,0,1.19,-0.02,4.152,20220919_094400.223,PHASE_0,8.151,-2.584,-90.27
24.45,107.55,81.75,65.6,103.6,156.75,16.68,-68.08,77.4,-46.06,0,1.26,0.15,4.633,20220919_094400.330,PHASE_0,7.657,-2.561,-97.46
24.7,116.1,92.4,82.55,121.35,154.15,18.3,-70.5,76.0,-47.85,0,1.32,0.39,4.608,20220919_094400.436,PHASE_0,7.483,-2.407,-100.05
23.4,117.4,89.55,94.75,127.05,165.85,18.95,-72.65,73.2,-51.45,0,1.3,0.32,4.608,20220919_094400.550,PHASE_0,7.228,-2.351,-105.15
24.45,123.4,95.55,132.55,148.15,171.6,20.1,-76.2,71.6,-53.53,0,1.25,0.18,4.531,20220919_094400.658,PHASE_0,6.935,-2.263,-109.63
23.65,112.75,96.6,131.25,153.1,166.1,20.83,-79.53,70.2,-55.36,0,1.24,0.16,4.883,20220919_094400.770,PHASE_0,6.65,-2.209,-114.06
23.65,112.75,96.6,131.25,153.1,166.1,20.83,-79.53,70.2,-55.36,0,1.24,0.16,4.883,20220919_094400.880,PHASE_0,6.65,-2.209,-114.06
23.4,111.7,98.15,131.25,152.6,166.9,21.55,-82.85,70.3,-55.23,0,1.25,0.19,5.184,20220919_094400.987,PHASE_0,6.424,-2.171,-116.53
23.4,106.25,101.8,130.2,154.4,164.3,22.2,-84.4,69.7,-56.02,0,1.25,0.22,4.375,20220919_094401.099,PHASE_0,6.304,-2.102,-118.22
22.9,102.6,104.65,129.9,154.4,159.6,22.75,-85.95,69.2,-56.68,0,1.28,0.29,4.375,20220919_094401.205,PHASE_0,6.184,-2.045,-119.88
