Boom_Head_C_P,Arm_Rod_C_P,Arm_Head_C_P,Bkt_Rod_C_P,Bkt_Head_C_P,Boom_Rod_C_P,Boom_theta,Arm_theta,Bkt_theta,Jbkt ,Cabin_Slope_Yaw,Cabin_Slope_Pitch,Cabin_Slope_Roll,Dist,ImgName,Phase,distance,depth,bktAOA
23.65,183.05,30.7,89.55,47.9,209.1,18.75,-54.75,98.2,-20.26,0,1.18,0.74,5.627,P_20220919_094306.755,PHASE_0,9.49,-1.435,-56.26
22.9,172.35,43.45,83.55,52.05,189.8,18.75,-54.75,98.2,-20.26,0,1.18,0.74,5.305,20220919_094308.316,PHASE_0,9.49,-1.435,-56.26
22.9,172.35,43.45,83.55,52.05,189.8,18.75,-54.75,98.2,-20.26,0,1.18,0.74,5.305,20220919_094308.377,PHASE_0,9.49,-1.435,-56.26
22.1,124.7,49.45,116.1,88.25,133.3,18.63,-61.43,85.9,-35.36,0,1.26,0.97,4.993,20220919_094308.484,PHASE_0,8.582,-2.017,-78.16
64.8,101.8,107.8,202.3,211.45,146.6,18.18,-68.58,70.7,-54.71,0,1.18,0.62,4.921,20220919_094308.594,PHASE_0,7.397,-2.321,-105.11
29.9,75.75,103.1,178.9,216.1,155.45,18.91,-76.91,68.1,-58.13,0,1.11,0.46,4.876,20220919_094308.702,PHASE_0,6.69,-2.356,-116.13
28.6,76.0,107.55,175.25,214.8,42.7,20.79,-82.09,67.0,-59.59,0,1.12,0.37,4.955,20220919_094308.811,PHASE_0,6.324,-2.177,-120.89
43.2,77.85,114.05,204.15,220.55,142.4,21.36,-85.16,66.7,-59.99,0,1.17,0.54,4.955,20220919_094308.919,PHASE_0,6.099,-2.129,-123.79
38.25,72.35,116.9,216.1,229.9,145.05,21.62,-88.72,67.2,-59.32,0,1.22,0.67,4.323,20220919_094309.031,PHASE_0,5.853,-2.127,-126.42
29.4,66.1,127.05,221.6,243.75,149.7,21.62,-88.72,67.2,-59.32,0,1.22,0.67,4.323,20220919_094309.140,PHASE_0,5.853,-2.127,-126.42
