Boom_Head_C_P,Arm_Rod_C_P,Arm_Head_C_P,Bkt_Rod_C_P,Bkt_Head_C_P,Boom_Rod_C_P,Boom_theta,Arm_theta,Bkt_theta,Jbkt ,Cabin_Slope_Yaw,Cabin_Slope_Pitch,Cabin_Slope_Roll,Dist,ImgName,Phase,distance,depth,bktAOA
22.35,184.6,12.75,140.35,72.9,73.65,12.37,-37.17,113.3,-2.02,0,0.96,0.09,4.744,P_20220919_095646.061,PHASE_0,10.635,-0.843,-26.82
21.6,202.85,14.05,147.9,74.2,205.45,12.37,-37.17,113.3,-2.02,0,0.96,0.09,4.744,20220919_095647.966,PHASE_0,10.635,-0.843,-26.82
21.6,202.85,14.05,147.9,74.2,205.45,12.37,-37.17,113.3,-2.02,0,0.96,0.09,4.744,20220919_095648.014,PHASE_0,10.635,-0.843,-26.82
22.35,224.45,14.8,152.3,77.05,199.45,10.72,-38.72,107.7,-8.77,0,0.94,0.15,3.983,20220919_095648.080,PHASE_0,10.417,-1.46,-36.77
24.45,206.5,82.8,89.55,85.9,156.75,8.23,-43.23,105.8,-11.06,0,1.03,0.6,3.246,20220919_095648.190,PHASE_0,10.056,-2.285,-46.06
25.5,152.85,136.45,122.9,147.35,95.8,7.9,-43.4,99.8,-18.31,0,1.05,0.85,2.894,20220919_095648.295,PHASE_0,9.845,-2.511,-53.81
23.65,47.1,139.8,72.1,156.25,50.5,8.58,-44.08,88.0,-32.76,0,1.24,1.41,2.956,20220919_095648.404,PHASE_0,9.409,-2.674,-68.26
28.1,68.75,99.2,23.65,105.95,0.0,10.7,-49.0,84.2,-37.48,0,1.11,0.99,3.206,20220919_095648.520,PHASE_0,9.038,-2.647,-75.78
31.75,61.95,107.8,25.25,117.7,113.5,11.69,-52.79,83.8,-37.98,0,1.0,0.72,3.423,20220919_095648.624,PHASE_0,8.811,-2.682,-79.08
27.6,54.4,114.55,24.7,134.85,126.55,14.11,-57.01,79.0,-44.02,0,0.98,0.61,3.883,20220919_095648.730,PHASE_0,8.424,-2.53,-86.92
28.6,55.7,129.65,33.55,155.7,116.1,14.84,-59.64,78.8,-44.28,0,0.98,0.51,4.226,20220919_095648.848,PHASE_0,8.26,-2.531,-89.08
28.6,55.7,129.65,33.55,155.7,116.1,14.84,-59.64,78.8,-44.28,0,0.98,0.51,4.226,20220919_095648.956,PHASE_0,8.26,-2.531,-89.08
28.6,54.65,137.2,37.2,167.4,113.8,15.43,-62.03,78.1,-45.17,0,0.98,0.57,4.226,20220919_095649.064,PHASE_0,8.083,-2.536,-91.77
31.25,49.2,147.9,39.05,177.05,116.65,15.9,-63.4,76.3,-47.46,0,1.0,0.55,4.226,20220919_095649.175,PHASE_0,7.925,-2.514,-94.96
30.95,47.9,156.25,39.05,187.2,117.95,16.25,-64.85,75.0,-49.13,0,1.0,0.6,4.318,20220919_095649.283,PHASE_0,7.778,-2.507,-97.73
30.45,47.1,162.2,35.9,190.6,120.8,16.25,-64.85,75.0,-49.13,0,1.0,0.6,4.318,20220919_095649.392,PHASE_0,7.778,-2.507,-97.73
30.7,44.5,159.6,34.35,193.45,1.55,16.6,-67.6,73.8,-50.68,0,1.01,0.61,4.29,20220919_095649.501,PHASE_0,7.536,-2.532,-101.68
30.45,46.6,161.45,32.55,197.1,125.5,16.93,-69.13,72.4,-52.49,0,1.01,0.58,4.225,20220919_095649.609,PHASE_0,7.375,-2.515,-104.69
30.45,46.6,161.45,32.55,197.1,125.5,16.93,-69.13,72.4,-52.49,0,1.01,0.58,4.225,20220919_095649.724,PHASE_0,7.375,-2.515,-104.69
