Boom_Head_C_P,Arm_Rod_C_P,Arm_Head_C_P,Bkt_Rod_C_P,Bkt_Head_C_P,Boom_Rod_C_P,Boom_theta,Arm_theta,Bkt_theta,Jbkt ,Cabin_Slope_Yaw,Cabin_Slope_Pitch,Cabin_Slope_Roll,Dist,ImgName,Phase,distance,depth,bktAOA
25.75,191.9,47.9,168.2,107.8,28.35,16.6,-60.5,116.3,1.59,0,1.46,0.0,4.827,P_20220919_092111.782,PHASE_0,9.642,-1.679,-42.31
23.65,181.25,64.3,179.9,119.5,143.45,16.6,-60.5,116.3,1.59,0,1.46,0.0,4.825,20220919_092113.036,PHASE_0,9.642,-1.679,-42.31
23.65,181.25,64.3,179.9,119.5,143.45,16.6,-60.5,116.3,1.59,0,1.46,0.0,4.825,20220919_092113.069,PHASE_0,9.642,-1.679,-42.31
23.15,189.55,13.5,122.1,57.8,204.65,16.32,-51.92,107.3,-9.25,0,1.3,-0.51,4.922,20220919_092113.152,PHASE_0,9.88,-1.424,-44.85
22.35,188.0,18.2,144.5,73.65,204.9,14.48,-49.58,92.6,-27.09,0,1.35,-0.13,4.285,20220919_092113.262,PHASE_0,9.479,-1.942,-62.19
24.2,163.25,69.0,129.9,96.85,133.3,12.69,-48.29,86.8,-34.24,0,1.49,0.36,4.061,20220919_092113.375,PHASE_0,9.273,-2.258,-69.84
24.45,144.5,91.1,141.4,119.5,0.0,12.69,-52.19,87.3,-33.62,0,1.54,0.72,4.038,20220919_092113.482,PHASE_0,9.039,-2.461,-73.12
22.9,138.0,81.5,150.75,127.3,105.95,12.69,-52.19,87.3,-33.62,0,1.54,0.72,4.038,20220919_092113.599,PHASE_0,9.039,-2.461,-73.12
22.9,132.55,74.2,140.85,129.9,136.15,12.81,-54.51,83.2,-38.73,0,1.54,0.71,4.079,20220919_092113.705,PHASE_0,8.719,-2.596,-80.43
23.95,113.8,98.65,123.65,167.4,181.75,12.96,-55.06,71.9,-53.14,0,1.61,0.77,4.06,20220919_092113.811,PHASE_0,8.202,-2.615,-95.24
26.8,73.65,106.5,97.35,170.3,182.25,12.96,-55.06,71.9,-53.14,0,1.61,0.77,4.06,20220919_092113.921,PHASE_0,8.202,-2.615,-95.24
25.0,89.55,78.1,92.4,129.4,152.85,13.73,-54.23,75.4,-48.62,0,1.63,0.88,4.06,20220919_092114.029,PHASE_0,8.447,-2.476,-89.12
26.0,109.1,76.55,85.9,109.1,141.1,13.73,-54.23,75.4,-48.62,0,1.63,0.88,4.06,20220919_092114.143,PHASE_0,8.447,-2.476,-89.12
23.95,109.85,79.9,81.75,114.3,155.2,14.67,-61.37,79.3,-43.64,0,1.61,1.0,4.236,20220919_092114.245,PHASE_0,8.148,-2.621,-90.34
24.45,115.6,86.95,95.05,122.35,154.9,14.67,-61.37,79.3,-43.64,0,1.61,1.0,4.236,20220919_092114.360,PHASE_0,8.148,-2.621,-90.34
25.75,120.3,90.35,97.65,127.85,149.2,15.65,-64.55,78.3,-44.91,0,1.53,0.43,4.38,20220919_092114.465,PHASE_0,7.915,-2.594,-93.81
25.5,122.9,90.35,97.9,128.9,145.8,15.65,-64.55,78.3,-44.91,0,1.53,0.43,4.38,20220919_092114.576,PHASE_0,7.915,-2.594,-93.81
23.65,122.35,94.0,97.9,128.1,141.9,16.49,-62.39,73.4,-51.2,0,1.49,0.44,4.586,20220919_092114.685,PHASE_0,7.899,-2.385,-97.1
28.9,118.2,96.6,104.9,135.9,146.85,16.49,-62.39,73.4,-51.2,0,1.49,0.44,4.586,20220919_092114.792,PHASE_0,7.899,-2.385,-97.1
26.55,114.8,96.05,126.3,151.3,154.65,17.23,-67.93,72.5,-52.36,0,1.46,0.57,4.578,20220919_092114.902,PHASE_0,7.483,-2.446,-103.06
24.7,114.55,97.65,133.55,160.4,156.75,17.9,-68.4,71.7,-53.4,0,1.44,0.39,4.518,20220919_092115.010,PHASE_0,7.442,-2.363,-103.9
27.05,118.2,93.45,139.55,160.4,38.25,17.9,-70.7,71.3,-53.92,0,1.43,0.21,4.518,20220919_092115.127,PHASE_0,7.252,-2.416,-106.72
26.3,114.55,97.1,138.8,162.2,162.5,18.58,-71.38,71.3,-53.92,0,1.43,0.21,4.518,20220919_092115.228,PHASE_0,7.229,-2.345,-106.72
26.8,111.95,96.6,139.55,164.55,163.8,19.28,-74.38,71.4,-53.79,0,1.44,0.42,4.518,20220919_092115.345,PHASE_0,7.034,-2.324,-108.89
26.55,109.85,97.9,143.75,166.4,159.6,19.28,-74.38,71.4,-53.79,0,1.44,0.42,4.589,20220919_092115.448,PHASE_0,7.034,-2.324,-108.89
26.3,109.1,97.35,149.45,169.5,157.25,19.96,-76.46,71.5,-53.66,0,1.46,0.37,4.589,20220919_092115.562,PHASE_0,6.905,-2.283,-110.16
26.0,109.1,98.15,147.9,166.4,162.2,19.96,-76.46,71.5,-53.66,0,1.46,0.37,4.574,20220919_092115.670,PHASE_0,6.905,-2.283,-110.16
24.7,102.3,99.7,138.25,168.2,166.65,20.56,-79.16,71.0,-54.32,0,1.44,0.36,4.574,20220919_092115.780,PHASE_0,6.7,-2.249,-112.92
25.0,94.75,102.05,135.9,171.05,166.65,20.56,-79.16,71.0,-54.32,0,1.44,0.36,4.959,20220919_092115.889,PHASE_0,6.7,-2.249,-112.92
28.35,92.15,102.05,139.8,174.2,162.5,21.13,-81.03,70.6,-54.84,0,1.43,0.32,4.959,20220919_092115.998,PHASE_0,6.561,-2.202,-114.74
